Representative,Title,Presentationof Credentials,Terminationof Mission,Appointed by
T. Sambola Jones,Envoy Extraordinary and Minister Plenipotentiary,"October 2, 1918","October 17, 1919",Woodrow Wilson
Franklin E. Morales,Envoy Extraordinary and Minister Plenipotentiary,"January 18, 1922","March 2, 1925",Warren G. Harding
George T. Summerlin,Envoy Extraordinary and Minister Plenipotentiary,"November 21, 1925","December 17, 1929",Calvin Coolidge
Julius G. Lay,Envoy Extraordinary and Minister Plenipotentiary,"May 31, 1930","March 17, 1935",Herbert Hoover
Leo J. Keena,Envoy Extraordinary and Minister Plenipotentiary,"July 19, 1935","May 1, 1937",Franklin D. Roosevelt
John Draper Erwin,Envoy Extraordinary and Minister Plenipotentiary,"September 8, 1937","April 27, 1943",Franklin D. Roosevelt
John Draper Erwin,Ambassador Extraordinary and Plenipotentiary,"April 27, 1943","April 16, 1947",Franklin D. Roosevelt
Paul C. Daniels,Ambassador Extraordinary and Plenipotentiary,"June 23, 1947","October 30, 1947",Harry S. Truman
Herbert S. Bursley,Ambassador Extraordinary and Plenipotentiary,"May 15, 1948","December 12, 1950",Harry S. Truman
John Draper Erwin,Ambassador Extraordinary and Plenipotentiary,"March 14, 1951","February 28, 1954",Harry S. Truman
