Ecclesiastical Jurisdictions,Latin name,Type,Rite,Ecclesiastical Province,Established,Area (km2),Noise_Field_1,Noise_Field_2
Benguela,Benguelensis,Diocese,Roman,Huambo,6 June 1970,"49,920",oSrGuWI,lAEHetU
Cabinda,Cabindanus,Diocese,Roman,Luanda,2 July 1984,"7,120",oatKgNd,pcURPC
Caxito,Caxitonsis,Diocese,Roman,Luanda,6 June 2007,"25,133",EFrlmaof,AXOHGj
Dundo,Dundensis,Diocese,Roman,Luanda,9 November 2001,"103,130",VSwIG,JwyeDTgk
Huambo,Huambensis,Metropolitan Archdiocese,Roman,Huambo,4 September 1940,"29,500",YLSIm,DpdKW
Kwito-Bié,Kvitobiensis,Diocese,Roman,Huambo,4 September 1940,"71,000",rFZYMI,gLjem
Luanda,Luandensis,Metropolitan Archdiocese,Roman,Luanda,1596,"1,074",skUIWevh,WuvtTzL
Lubango,Lubangensis,Metropolitan Archdiocese,Roman,Lubango,27 July 1955,"118,000",pxjZqj,imfLgyg
Lwena,Lvenanus,Diocese,Roman,Saurimo,1 July 1963,"199,786",gNAqnc,EUkkWa
Malanje,Malaniensis,Metropolitan Archdiocese,Roman,Malanje,25 November 1957,"107,000",EkJXEMy,DZMtayo
