Opponent,Goals,Wins,Draws,Losses,+- Goals,Matches,Qualified,Eliminated,Noise_Field_1,Dummy_Col_2,Noise_Field_3
Partizani Tiranë,28-25,13,7,8,+ 3,28,9,7,xWAFgGH,KMvuh,okcxqb
Dinamo Tiranë,30-42,8,6,15,-12,29,8,8,ctmSP,pvJrVjf,emuuIy
KS Vllaznia,25-18,13,4,8,+ 7,25,9,6,BEoDEbV,BVUNzE,ISXOInr
KS Flamurtari,28-13,12,2,3,+15,17,8,3,cTCIepr,kkRfCct,rbRWNYJ
KS Teuta,29-17,8,9,4,+12,21,6,7,DDPPHUuA,MdLfG,DfHbpIJG
KS Elbasani,40-17,11,4,4,+23,19,8,2,LCGItGnh,NMPWDBTe,hhDYAcSb
KS Besa,27-26,11,6,7,+ 1,24,9,4,RIrLr,eQgYEOC,BAWQYdjH
KS Skenderbeu Korce,18- 5,9,1,1,+13,11,7,1,nFkpguW,vzqkGAv,BcaxS
KS Tomori,21- 7,7,3,1,+14,11,7,-,bMnzeXEe,zesqu,SVfnelJM
KS Lushnja,41-15,13,4,5,+26,22,8,3,DQGqch,visVouY,KPSggQRf
