Opponent,Goals,Wins,Draws,Losses,+- Goals,Matches,Qualified,Eliminated,Dummy_Col_1,Noise_Field_2
Luftëtari Gjirokastër,19- 3,5,0,0,+16,5,3,-,jVzRf,oeJXE
KS Apolonia,26- 8,8,3,0,+18,11,4,1,xkZRyM,abZXcMVi
Besëlidhja Lezhë,14- 2,5,0,1,+12,6,3,-,sbMANb,zEkRDQm
KS Kastrioti,30- 4,10,1,0,+26,11,5,-,mpmdpBU,MviaXUX
KF Naftëtari Kuçovë,5- 0,2,0,0,+ 5,2,1,-,VpYmctGF,KKrFM
KF Laçi,13- 4,5,2,1,+ 9,8,2,1,APeRxa,UaDWeAu
KS Shkumbini,19- 8,6,0,0,+11,6,2,-,BMmWpEee,rqLaxLf
KS Bylis,11- 4,2,3,1,+ 7,6,2,-,lFRwXM,VLNBCv
KS Sopoti Librazhd,17- 7,2,3,1,+10,6,3,-,EAvwc,yntKQr
KS Albpetrol,19- 3,5,0,1,+16,6,3,-,EDKaXnbw,lTXKdXep
