Date,Winner,Runner-up,Result,Site,Attendance,Irrelevant_1,Filler_2
"February 11, 1978",#2 Maryland,#1 NC State,89–82,"Charlottesville, Virginia","1,500",q6pVI,mUEUr
"February 10, 1979",#1 Maryland,#2 NC State,75–73,"Raleigh, North Carolina","3,500",KU7B0Rw,ybGchiJi
"February 10, 1980",#1 NC State,#2 Maryland,85–75,"College Park, Maryland",N/A,HjLvIAr9,mOkprSp
"February 14, 1981",#3 Maryland,#4 NC State,64–63,"Clemson, South Carolina",300,ytsgztc6,WbDEiLG
"February 28, 1982",#3 Maryland,#4 Clemson,93–81,"Raleigh, North Carolina",500,Gurjjryr,jDeSDCxn
"March 6, 1983",#3 Maryland,#1 NC State,84–81,"Fayetteville, North Carolina","2,134",kS2N4,QwtXdcYe
"March 4, 1984",#5 North Carolina,#3 NC State,99–76,"Fayetteville, North Carolina","3,733",uxxoLX98,idUEa
"March 3, 1985",#1 NC State,#2 North Carolina,81–80,"Fayetteville, North Carolina","3,907",CRjGqYJF,RxNEHmS
"March 3, 1986",#5 Maryland,#2 North Carolina,92–74,"Fayetteville, North Carolina","2,632",qUdjV2pI,IEzVi
"March 2, 1987",#2 NC State,#1 Virginia,57–56,"Fayetteville, North Carolina","2,987",iRYWn,QacuGYBh
"March 7, 1988",#2 Maryland,#1 Virginia,76–70,"Fayetteville, North Carolina","1,223",MeS06,bRNFWa
"March 6, 1989",#1 Maryland,#2 NC State,73–57,"Fayetteville, North Carolina","2,975",1zLTT7,pVcAi
"March 5, 1990",#2 Virginia,#1 NC State,67–64 OT,"Fayetteville, North Carolina","2,765",KlUVrRfG,HDtlmuuH
