Date,Winner,Runner-up,Result,Site,Attendance
"March 10, 2003",#1 Duke,#2 North Carolina,77–59,"Greensboro, North Carolina","11,127"
"March 8, 2004",#1 Duke,#2 North Carolina,63–47,"Greensboro, North Carolina","11,466"
"March 7, 2005",#1 North Carolina,#2 Duke,88–67,"Greensboro, North Carolina","11,578 *"
"March 5, 2006",#1 North Carolina,#3 Maryland,91–80,"Greensboro, North Carolina","10,746"
"March 4, 2007",#2 North Carolina,#4 NC State,60–54,"Greensboro, North Carolina","11,538"
"March 9, 2008",#1 North Carolina,#3 Duke,86–73,"Greensboro, North Carolina","11,132"
"March 8, 2009",#1 Maryland,#3 Duke,92–89 OT,"Greensboro, North Carolina","9,943"
"March 7, 2010",#1 Duke,#6 NC State,70–60,"Greensboro, North Carolina","9,432"
"March 6, 2011",#1 Duke,#6 North Carolina,81–67,"Greensboro, North Carolina","9,890"
"March 4, 2012",#3 Maryland,#4 Georgia Tech,68–65,"Greensboro, North Carolina","9,122"
"March 10, 2013",#1 Duke,#3 North Carolina,92–73,"Greensboro, North Carolina","8,166"
"March 9, 2014",#1 Notre Dame,#2 Duke,69–53,"Greensboro, North Carolina","8,190"
