Date,Winner,Runner-up,Result,Site,Attendance
"March 4, 1991",#3 NC State,#4 Clemson,84–61,"Fayetteville, North Carolina","4,102"
"March 9, 1992",#1 Virginia,#7 Georgia Tech,70–69,"Rock Hill, South Carolina","4,154"
"March 8, 1993",#1 Virginia,#2 Maryland,106–103 3OT,"Rock Hill, South Carolina","3,716"
"March 7, 1994",#2 North Carolina,#1 Virginia,77–60,"Rock Hill, South Carolina","4,386"
"March 5, 1995",#2 North Carolina,#4 Duke,95–70,"Rock Hill, South Carolina","5,724"
"March 3, 1996",#4 Clemson,#2 Duke,71–54,"Rock Hill, South Carolina","5,067"
"March 2, 1997",#1 North Carolina,#6 Clemson,62–58,"Charlotte, North Carolina","5,543"
"March 1, 1998",#4 North Carolina,#2 Clemson,81–50,"Charlotte, North Carolina","5,534"
"March 1, 1999",#4 Clemson,#3 North Carolina,87–72,"Charlotte, North Carolina","6,021"
"March 6, 2000",#2 Duke,#5 North Carolina,79–76,"Greensboro, North Carolina","8,090"
"March 5, 2001",#1 Duke,#3 NC State,57–45,"Greensboro, North Carolina","8,933"
"March 4, 2002",#1 Duke,#2 North Carolina,87–80,"Greensboro, North Carolina","9,204"
