Year,Location(s),Number of contestants,Ladies winner,Men's winner,Irrelevant_1,Irrelevant_2,Dummy_Col_3
1997,Umeå,11 179,Sweden Katarina Borg,Sweden Jörgen Mårtensson,bUrKFNbG,4KF62,oPqbde
1998,Gävle,13 249,Norway Hanne Staff,Sweden Johan Ivarsson,0RRNXc,0BqiAiX,fIiGvv
1999,Borlänge,15 238,Sweden Jenny Johansson,Sweden Fredrik Löwegren,1YVzhN,iWbx8jX4,HxODZXWn
2000,Hallsberg,13 740,Norway Hanne Staff,Sweden Jimmy Birklin,z5CNT,oSwK4H,FJUWa
2001,Märsta,12 525,Sweden Marlena Jansson,Sweden Johan Ivarsson,WmGFRNp,OumapOl,bWrOxiM
2002,Skövde,14 651,Switzerland Simone Niggli-Luder,Finland Mats Haldin,UNIj470,Iuf9kZ,pZvEuZ
2003,Uddevalla,14 998,United Kingdom Heather Monro,Finland Mats Haldin,jI0meJZ0,jfjE8J,TkFliN
2004,Göteborg,13 259,Sweden Jenny Johansson,Russia Valentin Novikov,2OJHvOf,LdCKebF,QhaQcZp
2005,Skillingaryd,12 657,Sweden Emma Engstrand,Sweden Emil Wingstedt,8P4SoQ,y8yKw,OuOMIHGl
2006,Mohed,13 500,Switzerland Simone Niggli-Luder,Lithuania Simonas Krepsta,KDQamF,PfbKkc5,QLcsqc
