Year,Location(s),Number of contestants,Ladies winner,Men's winner,Irrelevant_1
1987,Norrköping,16 216,Sweden Katarina Borg,Sweden Lars Lönnkvist,9ARNM
1988,Sundsvall,16 413,Sweden Barbro Lönnkvist,Sweden Lars Lönnkvist,5KqWgns
1989,Östersund,17 818,Sweden Barbro Lönnkvist,Sweden Niklas Löwegren,xYvtL
1990,Göteborg,20 172,Norway Ragnhild Bente Andersen,Sweden Per Ek,Bby1CqvR
1991,Arboga,16 581,Sweden Arja Hannus,Sweden Håkan Eriksson,K9YUFz
1992,Södertälje,17 806,Sweden Gunilla Svärd,Denmark Allan Mogensen,V1RheL
1993,Falkenberg,15 006,Sweden Annika Zell,Norway Petter Thoresen,9tig8OH
1994,Örnsköldsvik,14 414,Sweden Katarina Borg,Norway Petter Thoresen,lw3PcYj
1995,Hässleholm,14 304,Finland Eija Koskivaara,Sweden Jörgen Olsson,jeEd8
1996,Karlstad,17 007,Sweden Annika Zell,Sweden Jörgen Mårtensson,nU5iOhFk
