Year,Location(s),Number of contestants,Ladies winner,Men's winner,Random_Column_1
1976,Ransäter,14 843,Hungary Sarolta Monspart,Sweden Gert Pettersson,e7tSCzny
1977,Visby,7 186,Finland Liisa Veijalainen,Norway Sigurd Dæhli,boAoU9
1978,Skara,15 148,Finland Liisa Veijalainen,Sweden Kjell Lauri,NxkvB
1979,Örebro,15 842,Sweden Britt-Marie Karlsson,Sweden Lars-Henrik Undeland,NswenY
1980,Uppsala,15 142,Finland Liisa Veijalainen,Sweden Lars Lönnkvist,QYkmzl
1981,Mohed,18 983,Sweden Annichen Kringstad,Sweden Jörgen Mårtensson,QzWxTwxH
1982,Luleå,13 631,Sweden Annichen Kringstad,Sweden Lars Lönnkvist,zxq6GN
1983,Anderstorp,22 498,Sweden Annichen Kringstad,Sweden Håkan Eriksson,HNgeGF3
1984,Bräkne-Hoby,16 123,Sweden Karin Gunnarsson,Sweden Kent Olsson,QlTTn
1985,Falun,25 021,Sweden Annichen Kringstad,Sweden Joakim Ingelsson,kMaRhP
1986,Borås,17 353,Sweden Annichen Kringstad,Sweden Anders Erik Olsson,C81kR
