Year,Location(s),Number of contestants,Ladies winner,Men's winner
2007,Mjölby,14 300,Switzerland Simone Niggli-Luder,Norway Anders Nordberg
2008,Sälen,24 375,Norway Anne Margrethe Hausken,Finland Tero Föhr
2009,Eksjö,15 589,Sweden Helena Jansson,Sweden Martin Johansson
2010,Örebro,16 069,Switzerland Simone Niggli-Luder,Sweden David Andersson
2011,Mohed,12 939,Sweden Tove Alexandersson,Sweden Erik Rost
2012,Halmstad,21172,Russia Tatiana Ryabkina,Norway Olav Lundanes
2013,Boden,12907,Sweden  Tove Alexandersson,France Thierry Gueorgiou
2014,Kristianstad,,,
2015,Borås,,,
2016,Sälen,,,
