Plant Name,Location,Country,Startup Date,Capacity (mmtpa),Corporation,Random_Column_1,Unused_2
Withnell Bay,Karratha,Australia,1995,(7.7),,dT89Jf,
Sakhalin II,,Russia,2009,9.6.,,zfzhXacN,
Yemen LNG,Balhaf,Yemen,2008,6.7,,9zom7R0D,
Tangguh LNG Project,Papua Barat,Indonesia,2009,7.6,,B6bTTeOc,
Qatargas I,Ras Laffan,Qatar,1996,(4.0),,rbQoOHK5,
Qatargas I,Ras Laffan,Qatar,2005,10.0,,MMN1Uq7,
Qatargas III,,Qatar,2010,7.8,,1NiC7z4,
"Rasgas I, II and III",Ras Laffan,Qatar,1999,36.3,,42QKEO,
Qalhat,,Oman,2000,7.3,,RpGwuiYB,
Das Island I,,United Arab Emirates,1977,,,g4EZrGP,
Das Island I and II,,United Arab Emirates,1994,5.7,,NEhEfQ,
Melkøya,Hammerfest,Norway,2007,4.2,Statoil,501LSM,
