State,Incumbent,Party,Result,Candidates,Extra_Data_1,Irrelevant_2
Alabama,Lister Hill,Democratic,Re-elected,Lister Hill (Democratic) Unopposed,88,il4hC3jx
Arizona,Carl Hayden,Democratic,Re-elected,Carl Hayden (Democratic) 61.4%Ross F. Jones (Republican) 38.6%,729,bWFGt
Arkansas,J. William Fulbright,Democratic,Re-elected,J. William Fulbright (Democratic) 83.0%Ben C. Henley (Republican) 17.0%,261,pT5qeN
California,Thomas H. Kuchel,Republican,Re-elected,Thomas H. Kuchel (Republican) 54.0%Richard Richards (Democratic) 45.6%Ray Gourley (Prohibition) 0.4%,360,ETxiYYd
Colorado,Eugene D. Millikin,Republican,RetiredDemocratic gain,John A. Carroll (Democratic) 50.2%Dan Thornton (Republican) 49.8%,310,ZimC9F
Connecticut,Prescott S. Bush,Republican,Re-elected,Prescott S. Bush (Republican) 54.8%Thomas J. Dodd (Democratic) 43.1%,319,jRogixbD
Florida,George A. Smathers,Democratic,Re-elected,George A. Smathers (Democratic) Unopposed,604,Thx05
Georgia,Walter F. George,Democratic,RetiredDemocratic hold,Herman E. Talmadge (Democratic) Unopposed,656,sGlGu
Idaho,Herman Welker,Republican,Lost re-electionDemocratic gain,Frank Church (Democratic) 56.2%Herman Welker (Republican) 38.7%,825,WcSnw8G
Illinois,Everett M. Dirksen,Republican,Re-elected,Everett M. Dirksen (Republican) 54.1%W. Richard Stengel (Democratic) 45.7%,738,t9soMAn
Indiana,Homer E. Capehart,Republican,Re-elected,Homer E. Capehart (Republican) 55.2%Claude R. Wickard (Democratic) 44.4%,860,407vgg
Iowa,Bourke B. Hickenlooper,Republican,Re-elected,Bourke B. Hickenlooper (Republican) 53.9%R. M. Evans (Democratic) 46.1%,787,SqjEwC
