State,Incumbent,Party,Result,Candidates,Irrelevant_1,Random_Column_2
Kansas,Frank Carlson,Republican,Re-elected,Frank Carlson (Republican) 57.9%George Hart (Democratic) 40.5%,Rf7AQqvN,VFuDROm4
Kentucky,Earle C. Clements,Democratic,Lost re-electionRepublican gain,Thruston Morton (Republican) 50.4%Earle C. Clements (Democratic) 49.7%,BIs6Uf,0R8fO
KentuckySpecial: Class 2,Robert Humphreys,Democratic,"Appointee retiredWinner elected to finish term ending January 3, 1961Republican gain",John S. Cooper (Republican) 53.2%Lawrence W. Wetherby (Democratic) 46.8%,quf1z,GIJ9m
Louisiana,Russell B. Long,Democratic,Re-elected,Russell B. Long (Democratic) Unopposed,tLsdqav,E0qZp
Maryland,John M. Butler,Republican,Re-elected,John M. Butler (Republican) 53.0%George P. Mahoney (Democratic) 47.0%,Bd1gA3,662oJd
Missouri,"Thomas C. Hennings, Jr.",Democratic,Re-elected,"Thomas C. Hennings, Jr. (Democratic) 56.4%Herbert Douglas (Republican) 43.6%",h6jAlTd,qKsJVm
Nevada,Alan Bible,Democratic,Re-elected,Alan Bible (Democratic) 52.6%Cliff Young (Republican) 47.4%,n5eRL,jGhxb1SF
New Hampshire,Norris Cotton,Republican,Re-elected,Norris Cotton (Republican) 64.1%Laurence M. Pickett (Democratic) 35.9%,hagCw,kMe2Q
New York,Herbert H. Lehman,Democratic,RetiredRepublican gain,"Jacob K. Javits (Republican) 53.3%Robert F. Wagner, Jr. (Democratic) 46.7%",pJ6rR,KnkeDY
North Carolina,"Sam J. Ervin, Jr.",Democratic,Re-elected,"Sam J. Ervin, Jr. (Democratic) 66.6%Joel A. Johnson (Republican) 33.4%",MlMwjBF,kwF1ZXH
North Dakota,Milton R. Young,Republican,Re-elected,Milton R. Young (Republican) 63.6%Quentin N. Burdick (Democratic) 36.0%,RXXIz,cLXT7RGM
Ohio,George H. Bender,Republican,Lost re-electionDemocratic gain,Frank J. Lausche (Democratic) 52.9%George H. Bender (Republican) 47.1%,M8e7zi,iYzLTkP
