#,Stadium,Capacity,City,Home team
28=,The Showgrounds (Limavady),"1,500",Limavady,Limavady United
32,Tandragee Road,"1,250",Portadown,Annagh United
33,Darragh Park,"1,200",Castlederg,Dergview
34=,Knockrammer Park,"1,000",Lurgan,Lurgan Celtic
34=,Mid Ulster Sports Arena,"1,000",Cookstown,Killymoon Rangers
36,Seahaven,500,Portstewart,Portstewart
37,Glen Road Heights,400,Belfast,Sport & Leisure Swifts
38,Upper Braniel,300,Belfast,Knockbreda
39,Milltown Playing Fields,280,Warrenpoint,Warrenpoint Town
?,Upper Malone,?,Belfast,Queen's University
