Year,Actor,Award,Category,Role,Episode,Result
1992,Nancy Cartwright,Primetime Emmy Award,Outstanding Voice-over Performance,Bart Simpson,"\Separate Vocations\""""",Won
1992,Dan Castellaneta,Primetime Emmy Award,Outstanding Voice-over Performance,Homer Simpson,"\Lisa's Pony\""""",Won
1992,Julie Kavner,Primetime Emmy Award,Outstanding Voice-over Performance,Marge Simpson,"\I Married Marge\""""",Won
1992,Jackie Mason,Primetime Emmy Award,Outstanding Voice-over Performance,Rabbi Hyman Krustofski,\Like Father," Like Clown\"""""
1992,Yeardley Smith,Primetime Emmy Award,Outstanding Voice-over Performance,Lisa Simpson,"\Lisa the Greek\""""",Won
1992,Marcia Wallace,Primetime Emmy Award,Outstanding Voice-over Performance,Edna Krabappel,"\Bart the Lover\""""",Won
1993,Dan Castellaneta,Primetime Emmy Award,Outstanding Voice-over Performance,Homer Simpson,"\Mr. Plow\""""",Won
1995,Nancy Cartwright,Annie Award,Voice Acting in the Field of Animation,Bart Simpson,"\Radio Bart\""""",Won
1997,Maggie Roswell,Annie Award,Best Voice Acting by a Female Performer,Shary Bobbins,"\Simpsoncalifragilisticexpiala(Annoyed Grunt)cious\""""",Nominated
1998,Hank Azaria,Primetime Emmy Award,Outstanding Voice-over Performance,Apu Nahasapeemapetilon,,Won
2001,Hank Azaria,Primetime Emmy Award,Outstanding Voice-over Performance,Various,"\Worst Episode Ever\""""",Won
