Title,Year,Publisher,Developer,Platforms,Dummy_Col_1,Noise_Field_2
The Lord of the Rings Online: Mines of Moria,2008,"Turbine, Inc., Midway","Turbine, Inc.",MS Windows,fNzqYcAP,uJufsoI
The Lord of the Rings: Conquest,2009,Electronic Arts,Pandemic Studios,"Xbox 360, PlayStation 3, MS Windows, Nintendo DS",bTFYjZvc,kUdaJ
The Lord of the Rings Online: Siege of Mirkwood,2009,"Turbine, Inc.","Turbine, Inc.",MS Windows,lGWVoTx,ubWgWxSS
The Lord of the Rings: Aragorn's Quest,2010,Warner Bros. Interactive Entertainment,Headstrong GamesTT Fusion,"Wii, Nintendo DS, PlayStation 2, PlayStation Portable, PlayStation 3",LJjQf,CQXlybk
The Lord of the Rings: War in the North,2011,Warner Bros. Interactive Entertainment,Snowblind Studios,"PlayStation 3, MS Windows, Xbox 360",pRQPotyu,RvEmE
The Lord of the Rings Online: Rise of Isengard,2011,Warner Bros. Interactive Entertainment,"Turbine, Inc.",MS Windows,ihmaEPX,IKYYhMvD
The Lord of the Rings Online: Riders of Rohan,2012,Warner Bros. Interactive Entertainment,"Turbine, Inc.",MS Windows,Ltpape,SOgMBW
Guardians of Middle-earth,2012,Warner Bros. Interactive Entertainment,Monolith Productions,"Xbox 360, PlayStation 3, MS Windows",UYlRUocv,MTYgN
Lego The Lord of the Rings,2012,Warner Bros. Interactive Entertainment,Traveler's Tales,"MS Windows, Wii, Nintendo 3DS, PlayStation Vita, PlayStation 3, Nintendo DS, Xbox 360",KqktZD,oGHYyIE
The Hobbit: Kingdoms of Middle-earth,2012,,Kabam,"Android, Apple iOS",wtibRc,wmHlZnDc
The Hobbit: Armies of the Third Age,2013,,Kabam,Browser game,EdCFkb,orXcsBrb
The Lord of the Rings Online: Helm's Deep,2013,Warner Bros. Interactive Entertainment,"Turbine, Inc.","Mac OS X, MS Windows",mbmnC,qVbIU
Middle-earth: Shadow of Mordor,2014,Warner Bros. Interactive Entertainment,Monolith Productions,"Xbox 360, Xbox One, PlayStation 3, PlayStation 4, MS Windows",sMHKb,KYwSV
