Star,Startyear,Endyear,Maximumyear,Maximummagnitude,Distance atmaximum (LY),Currentdistance,Currentmagnitude
Epsilon Canis Majoris,...,"-4,460,000","-4,700,000",-3.99,34,430,1.50
Beta Canis Majoris,"-4,460,000","-3,700,000","-4,420,000",-3.65,37,500,1.99
Canopus (first time),"-3,700,000","-1,370,000","-3,110,000",-1.86,177,310,-0.72
Zeta Sagittarii,"-1,370,000","-1,080,000","-1,200,000",-2.74,8,89.1,2.60
Zeta Leporis,"-1,080,000","-950,000","-1,050,000",-2.05,5.3,70,3.55
Canopus (second time),"-950,000","-420,000","-950,000",-1.09,252,310,-0.72
Aldebaran,"-420,000","-210,000","-320,000",-1.54,21.5,65,0.85
Capella,"-210,000","-160,000","-240,000",-0.82,27.9,42.2,0.08
Canopus (third time),"-160,000","-90,000","-160,000",-0.70,302,310,-0.72
Sirius (current),"-90,000","+210,000","+60,000",-1.64,7.8,8.6,-1.46
