,Marker name,Location,City or Town,Marker text
12,Sawmill,On No. Side Co. Rd. 49 Near W. End Bridge Over Minisink R.,"Forestburg, New York",Built 1873 By Westfall & Cuddeback. Sawed Lumber To Rebuild Houses Burned By Brant In Minisink (Port Jervis) 1778-79
13,Battle of Minisink,On NYS 97 About 1½ Mis. E. of Minisink Ford.,"Highland, New York",Col. Joseph Brant Led 40 Mohawks And Tories Up This Ravine And Ambushed N.Y. And N.J. Militia Lying For Him On Hill To The West
14,Battle of Minisink,On NYS 97 At Minisink Ford.,"Highland, New York","Entrance To Battlefield Where July 22, 1779, N.Y. And N.J. Militia Attacked Mohawk And Tory Raiders of Minisink (Port Jervis)"
15,Battle of Minisink,On NYS 97 About 1 Mi. West of Entrance To Battlefield.,"Highland, New York","One of The Deadliest In Frontier Warfare, Between Militia And Brant's Tories And Mohawks, On This Hill July 22, 1779"
16,Battle of Minisink,On NYS 97 About 1/2 Mile East of Entrance To Battlefield.,"Highland, New York","On This Hill, July 22, 1779 N.Y. And N.J. Militia Were Decimated By Mohawk And Tory Raiders of Minisink, (Port Jervis) Under Brant"
17,Brant's Camp,On NYS 97 At Barryville.,"Highland, New York","The Mohawk Leader of Raid On Minisink (Port Jervis) Camped Here July 21, 1779. Pursuing Militia Camped 3 Miles Up This Same Brook"
18,Brant's Crossing,On NYS 97 Near Entrance To Battlefield,"Highland, New York",After Battle of Minisink Brants Raiders With Their Plunder Forded River Here To Camp At Mouth of The Lackawaxen Creek Opposite
19,Bridge,On NYS 97 At Minisink Ford,"Highland, New York","Built By John A. Roebling, Builder of Brooklyn Bridge, To Support D. & H. Canal Aqueduct By Which Boats Crossed Delaware, 1848–98"
20,Early Settlers,On NYS 52 About 1 Mile East of White Sulphur Springs,"Highland, New York","Joseph And Ebenezer Hill Came From Conn., 1807 Bought 5000 Acres In Hardenbergh Patent. Joseph Was Captain In War of 1812."
21,First House,"On NYS 52, White Sulphur Springs","Highland, New York",In Robertsonville Now Called White Sulphur Springs 1812
