,Marker name,Location,City or Town,Marker text,Filler_1,Extra_Data_2
1,Clark Tannery,On So. Side NYS 52 At Eastern End of Jeffersonville,"Callicoon, New York","Contained 182, Square Vats Produced 600, 051 Lbs. Sole Leather In 1865. Ranked Second In Output In Sullivan County",epRLgu,263
2,Early Sawmill,On W. Side NYS 52 At Southern End of Youngsville,"Callicoon, New York","Built 1834 By Sam M. Young Followed In Turn By Turning Mill, Apple Brandy Distillery And Milk Manufacturing Plant",SxWVu,275
3,First Clearing,On NYS 52 1 Mi. Youngsville,"Callicoon, New York",In 1807 J.S. Jackson And C. Hurd Cleared Over 100 Acres For John De Witt At A Cost of 163 19S,ZxBBfeJs,29
4,George G. De Witt,On W. Side NYS 52 Between Jeffersonville & Youngsville,"Callicoon, New York","Home of George G. De Witt Where First Town Meeting Was Held May 3, 1842 500 Feet West",yVbfRkb,656
5,Old Toll Road,"On E. Side NYS 52 Midway Between Jeffersonville, & Youngsville","Callicoon, New York","Callicoon And Cochecton Turnpike 1852 Joined Erie At Cochecton With Tanneries At Pike Pond Jeffersonville, Youngsville",PHlCMee,639
6,Old Turnpike,On NYS 52 About 1½ Mis. N.E. Jeffersonville,"Callicoon, New York",Old Turnpike Jeffersonville To Monticello Toll Gate Two Miles East of This Point,YuieVN,354
7,Site of First House,In Center of Vlge. Youngsville In Front of John Pfieffle Residence,"Callicoon, New York","Site of First House In Youngsville Built of Logs, 1834 By Sam M. Young, First Settler For Whom The Place Is Named",riFmDqZ,682
8,Sullivan Volkblatt,"On No. Side Main St. Between Center St. & Delaware Av., Vlge. of Jeffersonv","Callicoon, New York",Local German Language Newspaper Published Here 1870German Language Predominated Here For Fifty Years,vkucj,884
9,Tannery of Henry Inderlied,On So. Side NYS 52 Near Center of Youngsville,"Callicoon, New York",Beef Hides Were Converted Into Sole Leather By Use of Local Hemlock Bard 1850,VFcoVoB,909
10,Brant's Camp,On W. Side NYS 42 2Mis. So. Forestburg Corners,"Forestburg, New York","Mohawk Chief With Plunder And Captives Taken In Raid On Minisink (Port Jervis) Camped Here Over Night July 20, 1779",iLedc,65
11,Indian Raid,On W. Side Co. Rd. 49 About 1 Mi. So. Oakland,"Forestburg, New York","Two Children of John Brooks And Son-In-Law, Joseph Hubbard, Were Killed Here By Brant's Mohawks And Tories, 1778",Xwnew,712
