,Marker name,Location,City or Town,Marker text
22,Robertsonville,On NYS 52 At White Sulphur Springs,"Highland, New York","Jonathan Bradley Robertson Came Here From Bridgeport, Conn., 1807, When It Was A Forest Wilderness. He Served In War of 1812"
23,D. & H. Canal,On NYS 97 At Mouth of Mill Brook Near Pond Eddy,"Lumberland, New York",D. & H. Canal Dry Dock And Basin 1828–1898
24,Bloomingburgh,On NYS 17 At Bloomingburgh,"Mamakating, New York","Named July 4, 1812, By James Newkirk. First Settler, Capt. John Newkirk, Prior To 1776. First School, 1784, Taught By Mr. Campbell."
25,Bloomingburgh,On NYS 17 At Bloomingburgh,"Mamakating, New York","Site of First Newspaper, First Printing Office, First Circuit Court, And The First Academy In Sullivan County"
26,Burlingham,On County Rd. At Burlingham,"Mamakating, New York","Named In Honor of Walter Burling, Director of Ulster And Orange Branch Turnpike, Which Crossed Shawangunk Kill At Newkirk's Mills, 1808"
27,Early Academy,On NYS 17K At West End Old Bridge At Bloomingburgh,"Mamakating, New York","Bloomingburgh Academy Built 1810, First Teacher Alpheus Dimmick, Principal Samuel Pitts, Union College. Had Many Famous Graduates"
28,Fort Devens,On US 209 About 1½ Miles North of Wurtsboro,"Mamakating, New York","1757 - One of Chain of Forts Built Under Supervision of James Clinton, Later General Clinton, During French & Indian War"
29,Michel Helm,On US 209 About 2 Miles North of Wurtsboro,"Mamakating, New York","Killed And Scalped Here During French And Indian War, While On Way From Visiting His Daughter At Minisink, To His Home In Rochester"
30,Roosa Fort,On Town Rd. at Roosa Gap,"Mamakating, New York",Building Started Before Revolutionary War. Later Owned And Completed By Abraham Roosa Or Son Jacob Who Lived In Cabin On Hill
31,Westbrook Fort,On US 209 At Westbrookville,"Mamakating, New York",And House Built About 1750-60 By Tjerck Van Keuren Westbrook. Village of Westbrookville Named In His Honor
