Position,Song Title,Artist,Sales,Highest Position,Dummy_Col_1,Noise_Field_2
1,Unchained Melody/White Cliffs of Dover,Robson Green & Jerome Flynn,"1,844,000",1,BQYfVUlI,TyvtV
2,Gangsta's Paradise,Coolio featuring L.V.,"1,110,000",1,nBUZHZOV,UHjSWxF
3,I Believe/Up on the Roof,Robson Green & Jerome Flynn,"1,049,000",1,AvVYpluE,xprlUtp
4,Back for Good,Take That,"960,000",1,hYuWDpbh,byBZxJ
5,Think Twice,Céline Dion,"928,000",1,jRRIXbc,GiFvV
6,Fairground,Simply Red,"782,000",1,SdJrNazp,jSBxTxhi
7,You Are Not Alone,Michael Jackson,"714,000",1,vpdfKEJl,srLqf
8,Earth Song,Michael Jackson,"802,000",1,xoYtFn,IjHDLD
9,Missing,Everything but the Girl,"696,000",3,NxaNybfR,znDHro
10,Wonderwall,Oasis,"665,000",2,AHdug,fpZFF
