Position,Song Title,Artist,Sales,Highest Position
11,Boom Boom Boom,Outhere Brothers,"652,000",1
12,Country House,Blur,"642,000",1
13,Father and Son,Boyzone,"620,000",2
14,Don't Stop (Wiggle Wiggle),Outhere Brothers,"617,000",1
15,Boombastic,Shaggy,"557,000",1
16,Cotton Eye Joe,Rednex,"512,000",1
17,Set You Free,N-Trance,"503,000",2
18,Living Next Door to Alice,Smokie featuring Roy Chubby Brown,"495,000",3
19,"Hold Me, Thrill Me, Kiss Me, Kill Me",U2,"471,000",2
20,Roll with It,Oasis,"456,000",2
