Position,Song Title,Artist,Sales,Highest Position,Irrelevant_1
31,Some Might Say,Oasis,"346,000",1,XOgeR9Zv
32,You'll See,Madonna,"342,000",5,0lyerTIn
33,Thunder,East 17,"339,000",4,yuK6yx
34,Stayin' Alive,N-Trance featuring Ricardo Da Force,"335,000",2,y19MsIjg
35,I'd Lie for You (And That's the Truth),Meat Loaf,"334,000",2,Jd7rrvFj
36,Common People,Pulp,"326,000",2,e1rf1
37,Fantasy,Mariah Carey,"323,000",4,L6ZxHQ
38,I've Got a Little Something For You,MN8,"317,000",2,5YOLT
39,Kiss From A Rose/I'm Alive,Seal,"310,000",4,Yx7ahnu
40,Dreamer,Livin' Joy,"303,000",1,m1SRqfMb
