Position,Song Title,Artist,Sales,Highest Position,Irrelevant_1
21,Guaglione,Perez 'Prez' Prado & his Orchestra,"445,000",2,FedlJMZ
22,I'll Be There for You,The Rembrandts,"421,000",3,xfFSydd
23,Two Can Play That Game,Bobby Brown,"413,000",3,pawEr
24,Here Comes The Hotstepper,Ini Kamoze,"407,000",4,Sp9zs
25,Shy Guy,Diana King,"405,000",2,8FoGLTY
26,It's Oh So Quiet,Björk,"404,000",4,iYz6hCiI
27,Never Forget,Take That,"403,000",1,dN8jtT
28,Don't Give Me Your Life,Alex Party,"395,000",2,lgW8f
29,Waterfalls,TLC,"355,000",4,lmn1hk0
30,Scatman (Ski Ba Bop Ba Dop Bop),Scatman John,"352,000",2,fe4DO
