Against,Played,Won,Drawn,Lost,Win %,Filler_1,Filler_2,Filler_3
Andorra,3,3,0,0,100%,kcUhEtQ,pKAmS,nrwQUtVJ
Argentina,4,0,0,4,0%,fNxhFl,mjDToSUV,bYzryW
Australia,1,0,0,1,0%,Gfkrpho,tvVdvDT,KQscPzo
Australia Emerging,1,0,1,0,0%,TqMUXGr,pvtVH,rMRvIP
Belgium,14,12,1,1,85.71%,BfjWv,koYulo,AsBSvbaa
Barbarians,1,0,0,1,0%,AbKPwKN,tjwMzsvx,bKqOHKS
Canada,1,0,0,1,0%,NKPFRRjS,bHCUZoLr,zSYgg
Chile,4,2,0,2,50%,APFfN,tOcbYk,puoZkq
Croatia,2,1,1,0,50%,pVYqYtUQ,qDoVjVD,GIHxPlFF
Denmark,1,1,0,0,100%,uSdOj,AASRFu,zsJRW
England A,7,0,0,7,0%,ZaDbl,uzXtv,EpOri
