Date,Opponent,Venue,Result,Scorers,Report,Filler_1
"August 30, 2008 – 18:00",Udinese,Away,Lost 1–3,Bresciano,18,maKgEKQ
"September 13, 2008 – 18:00",AS Roma,Home,Won 3–1,"Miccoli (2), Cavani",,xvOGi
"September 21, 2008 – 15:00",Genoa,Home,Won 2–1,"Bovo, Cavani",4,ZKwCC
"September 24, 2008 – 15:00",Napoli,Away,Lost 2–1,Miccoli,,IYMcYG
"September 28, 2008 – 15:00",Reggina,Home,Won 1–0,Miccoli,,gKXNqaV
"October 5, 2008 – 15:00",Juventus,Away,Won 2–1,"Miccoli, Mchedlidze",,lYxApDd
"October 19, 2008 - 15:00",Catania,Away,Lost 0–2,,Report,kmWqudM
"October 26, 2008 - 20:30",Fiorentina,Home,Lost 1–3,Simplício,Report,BdYxvJXG
"October 29, 2008 – 20:30",Lecce,Away,Drew 1–1,Cavani,Report,Zzsnwae
"November 2, 2008 - 15:00",Chievo,Home,Won 3–0,"Miccoli, Kjær, Cavani",,vqBcM
"November 8, 2008 - 18:00",Torino,Away,Lost 0–1,,Report,rJvmsjkF
"November 15, 2008 - 20:30",Internazionale,Home,Lost 0–2,,Report,YwMLeDk
"November 23, 2008 - 15:00",Bologna,Away,Drew 1–1,Succi,Report,bRpYfw
