Date,Opponent,Venue,Result,Scorers,Report,Random_Column_1
"March 8, 2009 - 15:00",Fiorentina,Away,Won 2–0,"Simplício, Miccoli",Report,aoI8JfC
"March 15, 2009 - 15:00",Lecce,Home,Won 5–2,"Cavani (2), Simplício, Miccoli, Kjær",Report,oSxSE
"March 22, 2009 - 15:00",Chievo,Away,Lost 0–1,,Report,ONdGMGU
"April 5, 2009 - 15:00",Torino,Home,Won 1–0,Cavani,Report,9iUTp
"April 19, 2009 - 15:00",Internazionale,Away,Drew 2–2,"Cavani, Succi",Report,l84SDVnC
"April 19, 2009 - 15:00",Bologna,Home,Won 4–1,"Belleri (own goal), Kjær, Succi, Cavani",Report,COtIWjf
"April 26, 2009 - 15:00",AC Milan,Away,Lost 0–3,,Report,0fNdRgn
"May 3, 2009 - 15:00",Cagliari,Home,Won 5–1,"Migliaccio, Miccoli, Tedesco, Cavani, Succi",Report,WITK3fYT
"May 10, 2009 - 15:00",Siena,Away,Lost 0–1,,Report,LNPcMIa
"May 17, 2009 - 15:00",Lazio,Home,Won 2–0,"Miccoli, Migliaccio",Report,w48J8f
"May 24, 2009 - 15:00",Atalanta,Away,Drew 2–2,"Succi, Miccoli",Report,2gSZDY
"May 31, 2009 - 15:00",Sampdoria,Home,Drew 2–2,"Miccoli, Succi",Report,iOELFf
