Date,Opponent,Venue,Result,Scorers,Report,Filler_1
"April 5, 2009 - 15:00",Torino,Home,Won 1–0,Cavani,Report,yIQaIx
"April 19, 2009 - 15:00",Internazionale,Away,Drew 2–2,"Cavani, Succi",Report,xcgzk
"April 19, 2009 - 15:00",Bologna,Home,Won 4–1,"Belleri (own goal), Kjær, Succi, Cavani",Report,FqckECQy
"April 26, 2009 - 15:00",AC Milan,Away,Lost 0–3,,Report,FepmbdT
"May 3, 2009 - 15:00",Cagliari,Home,Won 5–1,"Migliaccio, Miccoli, Tedesco, Cavani, Succi",Report,Kiembzds
"May 10, 2009 - 15:00",Siena,Away,Lost 0–1,,Report,jrkaYPU
"May 17, 2009 - 15:00",Lazio,Home,Won 2–0,"Miccoli, Migliaccio",Report,baxJO
"May 24, 2009 - 15:00",Atalanta,Away,Drew 2–2,"Succi, Miccoli",Report,ekLdp
"May 31, 2009 - 15:00",Sampdoria,Home,Drew 2–2,"Miccoli, Succi",Report,XXRQkrX
