Date,Opponent,Venue,Result,Scorers,Report
"November 30, 2008 - 20:30",AC Milan,Home,Won 3–1,"Miccoli, Cavani, Simplício",Report
"December 7, 2008 - 15:00",Cagliari,Away,Lost 0–1,,Report
"December 14, 2008 - 15:00",Siena,Home,Won 2–0,"Cassani, Simplício",Report
"December 20, 2008 - 18:00",Lazio,Away,Lost 0–1,,Report
"January 11, 2009 - 15:00",Atalanta,Home,Won 3–2,"Miccoli, Bresciano, Cavani",Report
"January 18, 2009 - 15:00",Sampdoria,Home,Won 2–0,Bresciano (2),Report
"January 25, 2009 - 15:00",Udinese,Home,Won 3–2,"Simplício (2), Cavani",Report
"January 28, 2009 - 20:30",AS Roma,Away,Lost 1–2,Cavani,Report
"February 1, 2009 - 15:15",Genoa,Away,Lost 0–1,,Report
"February 8, 2009 - 20:30",Napoli,Home,Won 2–1,"Migliaccio, Simplício",Report
"February 15, 2009 - 15:00",Reggina,Away,Drew 0–0,,Report
"February 21, 2009 - 20:30",Juventus,Home,Lost 0–2,,Report
"March 1, 2009 - 15:00",Catania,Home,Lost 0–4,,Report
