Number,South/west end,North/east end,Formed,Eliminated
Oregon Route 99,I-5 south of Ashland,OR 99E/OR 99W in Junction City,,
Oregon Route 99E,OR 99/OR 99W in Junction City,I-5 in North Portland,,
Oregon Route 99E Business,I-5/OR 99E in Salem,OR 99E north of Salem,,
Oregon Route 99W,OR 99/OR 99E in Junction City,I-5 in Tigard,,
Oregon Route 103,US 26 near Elsie,OR 202 at Jewell,2002,
Oregon Route 104,US 101 south of Warrenton,Fort Stevens State Park,2002,
Oregon Route 104S,OR 104 in Warrenton,US 101 in Warrenton,2002,
Oregon Route 120,North Portland,I-5/OR 99E in North Portland,2002,
Oregon Route 126,US 101 in Florence,US 26 in Prineville,,
Oregon Route 126 Business,I-105/OR 99/OR 126 in Eugene,OR 126 in Springfield,,
Oregon Route 130,US 101 southwest of Hebo,OR 22 at Dolph,2002,
Oregon Route 131,Oceanside,US 101/OR 6 in Tillamook,2002,
Oregon Route 138,OR 38 at Elkton,US 97 south of Chemult,1960s,
Oregon Route 140,OR 62 near White City,"NV 140 towards Winnemucca, NV",1960s,
Oregon Route 141,I-5 in Wilsonville,OR 217 in Beaverton,2003,
Oregon Route 153,OR 18 at Bellevue,OR 221 east of Hopewell,2002,
Oregon Route 154,OR 153,OR 233 southwest of Dayton,2002,
Oregon Route 164,I-5/OR 99E in Millersburg,I-5/OR 99E north of Jefferson,2002,
