Number,South/west end,North/east end,Formed,Eliminated,Dummy_Col_1,Dummy_Col_2
Oregon Route 47,OR 99W north of McMinnville,US 30 in Clatskanie,1932,,rZUWBpVP,ZHzOUd
Oregon Route 50,OR 10 in Portland,US 97 in Madras,1932,1952,JHhdsFfC,stxgf
Oregon Route 51,OR 99W/OR 194 in Monmouth,OR 22 west of Salem,1932,,peiiEla,SUtpiK
Oregon Route 52,OR 201 north of Ontario,"SH-52 in Payette, ID",1940s,,OnrdjM,onHzkUq
Oregon Route 52,US 26 near Bear Springs,US 197 near Maupin,1940s,1950s,nesWwp,MrdShpXL
Oregon Route 53,US 101 near Wheeler,US 26 at Necanicum,1939,,DVXJz,jeyRap
Oregon Route 54,OR 99E in Albany,US 28 in Vale,1932,1940,bgkVWiHG,Yypfnat
Oregon Route 58,I-5/OR 99 at Goshen,US 97 north of Chemult,1932,,baajB,ZPxHjU
Oregon Route 62,OR 99/OR 238 in Medford,US 97 south of Chiloquin,1932,,bFsli,NqzRQ
Oregon Route 66,OR 99 in Ashland,US 97 south of Klamath Falls,1932,,xQcqBDWb,zvUZtj
Oregon Route 69,OR 126 in Eugene,I-5 in Springfield,2002,2007,OiNnIE,pAzjkO
Oregon Route 70,OR 140 at Dairy,Bonanza,1932,,ngFHr,SeWQqzM
Oregon Route 74,I-84/US 30 east of Arlington,US 395 at Nye,1932,,QWqxNnBB,mArtDZVS
Oregon Route 78,US 20/US 395 in Burns,US 95 at Burns Junction,1932,,zGVLJx,ZZBviF
Oregon Route 82,US 30 in La Grande,Joseph,1932,,drySL,pLDbbnkc
Oregon Route 86,I-84 near Baker,"Near Hells Canyon, ID",1932,,CxJJR,yHFeYW
Oregon Route 86S,OR 86 northeast of Richland,OR 413/OR 414 in Halfway,2003,,bhFJOqA,XhBycH
Oregon Route 90,OR 201 north of Ontario,"SH-52 in Payette, ID",1932,1950s,nIVCuO,gAvVGubX
