Number,South/west end,North/east end,Formed,Eliminated
U.S. Route 97 Business,US 97 in Klamath Falls,US 97 in Klamath Falls,1980s,
U.S. Route 97 Business,US 97 in Bend,US 20/US 97 in Bend,1980s,
U.S. Route 197,US 97 at Shaniko Junction,"US 197 towards Dallesport, WA",1952,
U.S. Route 99,"Towards Weed, CA","Vancouver, WA",1926,1972
U.S. Route 99E,OR 99/OR 99W in Junction City,OR 99/OR 99W in Portland,1928,1972
U.S. Route 99W,OR 99/OR 99E in Junction City,OR 99/OR 99E in Portland,1928,1972
U.S. Route 199,"US 199 towards Crescent City, CA",I-5/OR 99 in Grants Pass,1926,
U.S. Route 101,"US 101 towards Crescent City, CA","US 101 towards Aberdeen, WA",1926,
U.S. Route 101 Business,US 101 in Warrenton,US 101 in Astoria,1967,
Oregon Route 2,US 101 south of Seaside,OR 10 in Portland,1932,1952
Oregon Route 3,OR 82 in Enterprise,"WA 129 towards Clarkston, WA",1932,
Oregon Route 6,US 101/OR 131 in Tillamook,US 26 west of North Plains,1932,
Oregon Route 7,US 26 south of Austin,I-84 in Baker,1932,
Oregon Route 8,OR 6 near Gales Creek,US 26 east of Beaverton,1936,
Oregon Route 10,OR 219 south of Hillsboro,US 26 in Portland,1932,
Oregon Route 11,I-84 near Pendleton,"WA 125 towards Walla Walla, WA",1932,
Oregon Route 14,US 101 at Hebo,OR 18 west of Willamina,1932,1950s
Oregon Route 15,US 30 in Pendleton,US 730 at Cold Springs,1932,1934
