Number,South/west end,North/east end,Formed,Eliminated
Oregon Route 228,OR 99E in Halsey,US 20 in Sweet Home,1935,
Oregon Route 229,US 20 north of Toledo,US 101 at Kernville,1935,
Oregon Route 230,OR 62 near Union Creek,OR 138 near Diamond Lake,1935,
Oregon Route 231,,,,
Oregon Route 232,Crater Lake National Park,US 97,1935,1980s
Oregon Route 233,OR 99W north of Amity,OR 99W northeast of Dayton,1935,
Oregon Route 234,I-5 west of Gold Hill,OR 62 north of Eagle Point,1935,
Oregon Route 235,,,,
Oregon Route 236,OR 62 in Eagle Point,US 97 in Klamath Falls,1935,1940s
Oregon Route 237,I-84/US 30 at North Powder,OR 82 in Island City,1935,
Oregon Route 238,US 199/OR 99 south of Grants Pass,OR 99 in Medford,1935,
Oregon Route 240,OR 47 in Yamhill,OR 99W in Newberg,1935,
Oregon Route 241,US 101 in Coos Bay,East of Nesika County Park,2003,
Oregon Route 242,OR 126 south of Belknap Springs,US 20/OR 126 in Sisters,,
Oregon Route 244,US 395 west of Ukiah,I-84/US 30 at Hilgard,,
Oregon Route 245,US 26 near Unity,OR 7 near Salisbury,,
Oregon Route 250,US 101 north of Port Orford,Cape Blanco State Park,2003,
