Number,South/west end,North/east end,Formed,Eliminated
Oregon Route 18,US 101 west of Otis Junction,OR 99W north of Dayton,1932,
Oregon Route 18 Business,OR 18 at Wallace Bridge,OR 18 east of Sheridan,1960,
Oregon Route 19,US 26 northwest of Dayville,I-84/US 30 in Arlington,1932,
Oregon Route 22,US 101 at Hebo,US 20 west of Suttle Lake,1932,
Oregon Route 23,US 97 at Cow Canyon,US 30 in The Dalles,1932,1952
Oregon Route 26,US 101 in Newport,OR 99E in Albany,1932,1943
Oregon Route 27,US 20 west of Brothers,US 26 in Prineville,1932,
Oregon Route 31,US 395 at Valley Falls,US 97 south of La Pine,1932,
Oregon Route 32,US 730 east of Umatilla,US 30 near Stanfield,1945,1973
Oregon Route 34,US 101 in Waldport,US 20 in Lebanon,1932,
Oregon Route 35,US 26 east of Government Camp,I-84/US 30 west of Hood River,1932,
Oregon Route 36,OR 126 in Mapleton,OR 99W near Junction City,1936,
Oregon Route 37,I-84/US 395 in Pendleton,US 730 at Cold Springs,1973,
Oregon Route 38,US 101 in Reedsport,OR 99 in Drain,1932,
Oregon Route 39,"CA 139 towards Alturas, CA",US 97 in Klamath Falls,1932,
Oregon Route 42,US 101 north of Coquille,I-5/OR 99 south of Roseburg,1932,
Oregon Route 43,OR 99E in Oregon City,US 26 in Portland,1932,
Oregon Route 46,US 199 in Cave Junction,Oregon Caves,1932,
