Number,South/west end,North/east end,Formed,Eliminated
Oregon Route 251,Port Orford Heads State Park,US 101 in Port Orford,2003,
Oregon Route 255,US 101 at Brookings,US 101 south of Gold Beach,2003,
Oregon Route 260,US 199 southwest of Grants Pass,Grants Pass,2003,
Oregon Route 273,I-5 south of Siskiyou Summit,OR 66 southeast of Ashland,2003,
Oregon Route 281,OR 35 at Mt. Hood,US 30/OR 35 in Hood River,2002,
Oregon Route 282,OR 281 south of Hood River,OR 35 south of Hood River,2002,
Oregon Route 293,US 97 north of Madras,OR 218 in Antelope,2002,
Oregon Route 331,I-84/US 30 southeast of Pendleton,OR 11 northeast of Pendleton,2003,
Oregon Route 332,Washington state line,OR 11 north of Milton-Freewater,2003,
Oregon Route 334,OR 37 north of Pendleton,OR 11 east of Athena,2003,
Oregon Route 335,OR 11 northeast of Pendleton,Helix,2003,
Oregon Route 339,OR 11 in Milton-Freewater,"Towards Walla Walla, WA",2003,
Oregon Route 350,OR 82/OR 351 in Joseph,Imnaha,2003,
Oregon Route 351,South of Wallowa Lake,OR 82/OR 350 in Joseph,2003,
Oregon Route 361,US 97 southeast of Culver,US 26/US 97 in Madras,2002,
Oregon Route 370,US 97 north of Redmond,OR 126 in Prineville,2002,
Oregon Route 380,US 26 in Prineville,East of Paulina,2002,
