Number,South/west end,North/east end,Formed,Eliminated
Oregon Route 213,I-5/OR 99E in Salem,Portland International Airport,1935,
Oregon Route 214,I-5 in Woodburn,OR 22 west of Shaw,1935,
Oregon Route 215,OR 214 in Silverton,OR 99E in Oregon City,1935,1950s
Oregon Route 216,US 26 near Bear Springs,US 97 in Grass Valley,1935,
Oregon Route 217,I-5 east of Tigard,US 26 at Cedar Hills,1935,
Oregon Route 218,US 97 at Shaniko,OR 19 in Fossil,1935,
Oregon Route 219,I-5 in Woodburn,OR 8 in Hillsboro,1935,
Oregon Route 220,Sumpter,OR 7 at Salisbury,1935,1980s
Oregon Route 221,OR 22 in Salem,OR 18 northeast of Dayton,1935,
Oregon Route 222,OR 99 in Creswell,OR 126B in Springfield,2002,
Oregon Route 222,OR 99EB in Salem,US 20/OR 126 west of Suttle Lake,1935,1950s
Oregon Route 223,US 20 near Wren,OR 22 west of Rickreall,1935,
Oregon Route 224,OR 99E in Milwaukie,Near Ripplebrook,1936,
Oregon Route 225,I-5 north of Goshen,OR 126B west of Springfield,2002,
Oregon Route 225,OR 99 in Sutherlin,OR 38 at Elkton,1935,1960s
Oregon Route 226,US 20 at Crabtree Corners,OR 22 at Mehama,1935,
Oregon Route 227,OR 62 at Trail,South of Tiller,1935,1986 (restored 2003)
