Number,South/west end,North/east end,Formed,Eliminated
Oregon Route 402,OR 19 at Kimberly,US 395 in Long Creek,2002,
Oregon Route 410,Sumpter,OR 7 southeast of Sumpter,2003,
Oregon Route 413,OR 86S/OR 414 in Halfway,Cornucopia,2003,
Oregon Route 414,OR 86S/OR 413 in Halfway,OR 86 east of Halfway,2003,
Oregon Route 422,South of Klamath Agency,US 97 southwest of Chiloquin,2002,
Oregon Route 422S,OR 422 in Chiloquin,Chiloquin,2002,
Oregon Route 429,Near Crescent Lake,OR 58 at Crescent Lake Junction,2002,
Oregon Route 451,US 20 southwest of Vale,US 20 in Vale,2003,
Oregon Route 452,OR 201 southwest of Adrian,"SH-18 towards Parma, ID",2003,
Oregon Route 453,OR 454 southeast of Adrian,Idaho state line,2003,
Oregon Route 454,OR 452 southeast of Adrian,Idaho state line,2003,
Oregon Route 501,Southwest of Alsea,OR 34 at Alsea,2002,
Oregon Route 528,OR 126B in Springfield,OR 126 in Springfield,2002,
Oregon Route 540,Cape Arago State Park,US 101 in North Bend,2003,
Oregon Route 542,Powers,OR 42 southeast of Myrtle Point,2003,
Oregon Route 551,OR 99E southwest of Aurora,I-5 in Wilsonville,2002,
Oregon Route 569,OR 126 in Eugene,I-5 in Springfield,2007,
