Number,South/west end,North/east end,Formed,Eliminated,Extra_Data_1,Random_Column_2
Oregon Route 173,US 26 east of Government Camp,Timberline Lodge,2002,,966,Qvl0s
Oregon Route 180,US 20 at Eddyville,US 20 at Blodgett,2002,,397,9eXNgSre
Oregon Route 182,Devils Punch Bowl State Natural Area,US 101 north of Newport,2002,,841,R6rQn
Oregon Route 194,OR 223 south of Dallas,OR 51/OR 99W in Monmouth,2002,,765,6SdvTMo
Oregon Route 200,North of Curtin,OR 99W in Monroe,2002,,695,caAawwAa
Oregon Route 201,"SH-19 towards Homedale, ID",I-84/US 30 south of Huntington,1935,,155,6RB7e6O
Oregon Route 202,US 101 in Astoria,OR 47 at Mist,1935,,509,fDRVuu5f
Oregon Route 203,OR 86 northeast of Baker,I-84/US 30 south of La Grande,1935,,334,QcvKy
Oregon Route 204,OR 11 north of Weston,OR 82 in Elgin,1935,,196,EfKGD
Oregon Route 205,Roaring Springs Ranch,OR 78 east of Burns,1935,,203,m0DkR44
Oregon Route 206,I-84/US 30 at Celilo,OR 74 in Heppner,1935,,865,Ygy6N9t
Oregon Route 207,US 26 in Mitchell,US 730 west of Cold Springs,1935,,448,a27fRtwd
Oregon Route 208,OR 219 south of Hillsboro,OR 10 in Beaverton,1935,1982,143,4a3Mumdj
Oregon Route 209,Crater Lake National Park,OR 58 at Crescent Lake Junction,1935,1950s,307,FVb45fR
Oregon Route 210,OR 219 at Scholls,OR 10 west of Hillsdale,1935,,480,iUdjdkbM
Oregon Route 211,OR 99E north of Woodburn,US 26 in Sandy,1935,,129,ZpLpLHr
Oregon Route 212,I-205 near Clackamas,US 26 west of Sandy,1935,,144,XY0cG
