Map or catalog,Creator,Time created,Contets,links,Dummy_Col_1,Extra_Data_2
Tang Dynasty Indian Horoscope Chart(梵天火羅九曜),Yixing Priest 一行和尚 (张遂)|Zhang Sui|683–727 AD,simple diagrams of the 28 Constellation,,,efWob,310
Kitora Kofun 法隆寺FaLong Si　キトラ古墳 in Japan,,c. late 7th century – early 8th century,Detailed whole sky map,,eXfWpOSm,671
"Treatise on Astrology of the Kaiyuan Era(開元占経,开元占经Kai Yuan zhang Jing)",Gautama Siddha,713 AD –,"Collection of the three old star charts from Shi Shen, Gan De and Wu Xian. One of the most renowned collection recognized academically.",-,FiKvUnH,8
Big Dipper(山東嘉祥武梁寺石刻北斗星),,–,showing stars in Big Dipper,,YJuWYH,834
Prajvalonisa Vjrabhairava Padvinasa-sri-dharani Scroll found in Japan 熾盛光佛頂大威德銷災吉祥陀羅尼經卷首扉畫,,972 AD 北宋開寶五年,Chinese 28 Constellations and Western Zodiac,-,jyNaaMXz,359
Tangut Khara-Khoto (The Black City) Star Map 西夏黑水城星圖,,940 AD,A typical Qian Lezhi Style Star Map,-,jQErHgv,589
Star Chart 五代吳越文穆王前元瓘墓石刻星象圖,,941–960 AD,-,,XaeJWbZz,671
Ancient Star Map 先天图 by 陈抟Chen Tuan,,c. 11th Chen Tuan 宋Song,Perhaps based on studying of Puyong Ancient Star Map,Lost,qHwpxNcg,977
Song Dynasty Bronze Armillary Sphere 北宋至道銅渾儀,Han Xianfu 韓顯符,1006 AD 宋道元年十二月,"Similar to the Simplified Armillary by Kong Ting 孔挺, 晁崇 Chao Chong, 斛蘭 Hu Lan",-,lSUyh,642
Song Dynasty Bronze Armillary Sphere 北宋天文院黄道渾儀,"Shu Yijian 舒易簡, Yu Yuan 于渊, Zhou Cong 周琮",宋皇祐年中,Similar to the Armillary by Tang Dynasty Liang Lingzan 梁令瓚 and Yi Xing 一行,-,DsNdet,503
Song Dynasty Armillary Sphere 北宋簡化渾儀,Shen Kuo 沈括 and Huangfu Yu 皇甫愈,1089 AD 熙寧七年,"Simplied version of Tang Dynasty Device, removed the rarely used moon orbit.",-,vMmOT,131
Five Star Charts (新儀象法要),Su Song 蘇頌,1094 AD,1464 stars grouped into 283 asterisms,Image:Su Song Star Map 1.JPGImage:Su Song Star Map 2.JPG,YFYWxI,130
Song Dynasty Water-powered Planetarium 宋代 水运仪象台,Su Song 蘇頌 and Han Gonglian 韩公廉,c. 11th century,-,,YlNXiIV,997
Liao Dynasty Tomb Dome Star Map 遼宣化张世卿墓頂星圖,,1116 AD 遼天庆六年,shown both the Chinese 28 Constellation encircled by Babylonian Zodiac,,eJuWldQ,943
