Map or catalog,Creator,Time created,Contets,links
Star Map in a woman's grave (江西德安 南宋周氏墓星相图),,1127–1279 AD,Milky Way and 57 other stars.,
"Hun Tian Yi Tong Xing Xiang Quan Tu, Suzhou Star Chart (蘇州石刻天文圖),淳祐天文図",Huang Shang (黃裳),"created in 1193, etched to stone in 1247 by Wang Zhi Yuan 王致遠",1434 Stars grouped into 280 Asterisms in Northern Sky map,
Yuan Dynasty Simplified Armillary Sphere 元代簡儀,Guo Shou Jing 郭守敬,1276–1279,Further simplied version of Song Dynasty Device,
Japanese Star Chart 格子月進図,,1324,"Similar to Su Song Star Chart, original burned in air raids during World War II, only pictures left. Reprinted in 1984 by 佐佐木英治",
天象列次分野之図(Cheonsang Yeolcha Bunyajido),,1395,"Korean versions of Star Map in Stone. It was made in Chosun Dynasty and the constellation names were written in Chinese letter. The constellations as this was found in Japanese later. Contained 1,464 stars.",
Japanese Star Chart 瀧谷寺 天之図,,c. 14th or 15th centuries 室町中期以前,-,
Korean King Sejong's Armillary sphere,,1433,-,
Star Chart,Mao Kun 茅坤,c. 1422,Polaris compared with Southern Cross and Alpha Centauri,zh:郑和航海图
Korean Tomb,,c. late 14th century,Big Dipper,
Ming Ancient Star Chart 北京隆福寺(古星圖),,c. 1453 明代,"1420 Stars, possibly based on old star maps from Tang Dynasty",
Chanshu Star Chart (明常熟石刻天文圖),,1506,"Based on Suzhou Star Chart, Northern Sky observed at 36.8 degrees North Latitude, 1466 stars grouped into 284 asterism",-
Ming Dynasty Star Map (渾蓋通憲圖說),"Matteo Ricci 利玛窦Li Ma Dou, recorded by Li Zhizao 李之藻",c. 1550,-,
Tian Wun Tu (天问图),Xiao Yun Cong 萧云从,c. 1600,Contained mapping of 12 constellations and 12 animals,
Zhou Tian Xuan Ji Tu (周天璇玑图) and He He Si Xiang Tu (和合四象圖) in Xing Ming Gui Zhi (性命圭旨),by 尹真人高第弟子 published by 余永宁,1615,Drawings of Armillary Sphere and four Chinese Celestial Animals with some notes. Related to Taoism.,
