Map or catalog,Creator,Time created,Contets,links
Japanese Edo period Star Chart 天文成象Tian Wen Cheng xiang,(渋川昔尹She Chuan Xi Yin) (保井昔尹Bao Jing Xi Yin),1699 元禄十二年,"including Stars from Wu Shien (44 Constellation, 144 stars) in yellow; Gan De (118 Constellations, 511 stars) in black; Shi Shen (138 Constellations, 810 stars) in red and Harumi Shibukawa (61 Constellations, 308 stars) in blue;",
Japanese Star Chart 改正天文図説,,unknown,Included stars from Harumi Shibukawa,
Korean Star Map Stone,,c. 17th century,-,
Korean Star Map,,c. 17th century,-,
Ceramic Ink Sink Cover,,c. 17th century,Showing Big Dipper,
Korean Star Map Cube 方星圖,Italian Missionary Philippus Maria Grimardi 閔明我 (1639~1712),c. early 18th century,-,
Star Chart preserved in Japan based on a book from China 天経或問,You Zi liu 游子六,1730 AD 江戸時代 享保15年,A Northern Sky Chart in Chinese,
Star Chart 清蒙文石刻(欽天監繪製天文圖) in Mongolia,,1727–1732 AD,1550 stars grouped into 270 starisms.,
"Korean Star Maps, North and South to the Eclliptic 黃道南北恒星圖",,1742,-,
Japanese Edo period Star Chart 天経或問註解図巻　下,入江脩敬Ru Jiang YOu Jing,1750 寛延3年,-,-
Reproduction of an ancient device 璇璣玉衡,Dai Zhen 戴震,1723–1777 AD,based on ancient record and his own interpretation,Could be similar to
Rock Star Chart 清代天文石,,c. 18th century,A Star Chart and general Astronomy Text,
Korean Complete Star Map (渾天全圖),,c. 18th century,-,
