Map or catalog,Creator,Time created,Contets,links
Sky Map(浑天图)andHun Tian Yi Shuo(浑天仪说),Lu Ji (陆绩),187–219 AD 三国,-,-
Reproduced Hun Tian Yi(浑天仪)and wroteHun Tian Xiang Shuo(浑天象说),Wang Fan 王蕃,227–266 AD 三国,-,-
Whole Sky Star Maps(全天星圖Quan Tian Xing Tu),Chen Zhuo (陳卓),c. 270 AD 西晉初Xi Jin Chu,"A Unified Constellation System. Star maps containing 1464 stars in 284 Constellations, written astrology text",-
Equatorial Armillary Sphere(渾儀Hun Xi),Kong Ting (孔挺),323 AD 東晉 前趙光初六年,level being used in this kind of device,-
Northern Wei Period Iron Armillary Sphere(鐵渾儀),Hu Lan (斛蘭),Bei Wei|level being used in this kind of device,-,
Southern Dynasties Period Whole Sky Planetarium(渾天象Hun Tian Xiang),Qian Lezhi (錢樂之),443 AD 南朝劉宋元嘉年間,"used red, black and white to differentiate stars from different star maps from Shi Shen, Gan De and Wu Xian 甘, 石, 巫三家星",-
Northern Wei Grave Dome Star Map(河南洛陽北魏墓頂星圖),,526 AD 北魏孝昌二年,"about 300 stars, including the Big Dipper, some stars are linked by straight lines to form constellation. The Milky Way is also shown.",
Water-powered Planetarium(水力渾天儀),Geng Xun (耿詢),c. 7th century 隋初Sui Chu,-,-
Lingtai Miyuan(靈台秘苑),Yu Jicai (庾季才) and Zhou Fen (周墳),604 AD 隋Sui,incorporated star maps from different sources,-
Tang Dynasty Whole Sky Ecliptic Armillary Sphere(渾天黃道儀),Li Chunfeng 李淳風,667 AD 貞觀七年,"including Elliptic and Moon orbit, in addition to old equatorial design",-
The Dunhuang star map(燉煌),Dun Huang,705–710 AD,"1,585 stars grouped into 257 clusters or \asterisms\""""",
Turfan Tomb Star Mural(新疆吐鲁番阿斯塔那天文壁画),,250–799 AD 唐,"28 Constellations, Milkyway and Five Stars",
Picture of Fuxi and Nüwa 新疆阿斯達那唐墓伏羲Fu Xi 女媧NV Wa像Xiang,,Tang Dynasty,Picture of Fuxi and Nuwa together with some constellations,Image:Nuva fuxi.gif
Tang Dynasty Armillary Sphere(唐代渾儀Tang Dai Hun Xi)(黃道遊儀Huang dao you xi),Yixing Monk 一行和尚 (张遂)Zhang Sui and Liang Lingzan 梁令瓚,683–727 AD,"based on Han Dynasty Celestial Globe, recalibrated locations of 150 stars, determined that stars are moving",
