Map or catalog,Creator,Time created,Contets,links
"Qing Dynasty Star Catalog (儀象考成,仪象考成)恒星表 and Star Map 黄道南北両星総図","Yun Lu 允禄 and Ignatius Kogler 戴进贤Dai Jin Xian 戴進賢, a German","Device made in 1744, book completed in 1757 清乾隆年间",300 Constellations and 3083 Stars. Referenced Star Catalogue published by John Flamsteed,
Jingban Tianwen Quantu by Ma Junliang 马俊良,,1780–90 AD,mapping nations to the sky,
Japanese Edo period Illustration of a Star Measuring Device 平天儀図解,Yan Qiao Shan Bing Heng 岩橋善兵衛,1802 Xiang He Er Nian 享和二年,-,The device could be similar to
North Sky Map 清嘉庆年间Huang Dao Zhong Xi He Tu(黄道中西合图),Xu Choujun 徐朝俊,1807 AD,More than 1000 stars and the 28 consellation,
Japanese Edo period Star Chart 天象総星之図,Chao Ye Bei Shui 朝野北水,1814 文化十一年,-,-
Japanese Edo period Star Chart 新制天球星象記,田中政均,1815 文化十二年,-,-
Japanese Edo period Star Chart 天球図,坂部廣胖,1816 文化十三年,-,-
Chinese Star map,John Reeves esq,1819 AD,Printed map showing Chinese names of stars and constellations,
Japanese Edo period Star Chart 昊天図説詳解,佐藤祐之,1824 文政七年,-,-
Japanese Edo period Star Chart 星図歩天歌,小島好謙 and 鈴木世孝,1824 文政七年,-,-
Japanese Edo period Star Chart,鈴木世孝,1824 文政七年,-,-
Japanese Edo period Star Chart 天象管鈔 天体図 (天文星象図解),長久保赤水,1824 文政七年,-,
Japanese Edo period Star Measuring Device 中星儀,足立信順Zhu Li Xin Shun,1824 文政七年,-,-
