Map or catalog,Creator,Time created,Contets,links
Japanese Late Edo period Star Chart 天文図屏風,遠藤盛俊,late Edo Period 江戸時代後期,-,-
Japanese Star Chart 天体図,三浦梅園,-,-,-
Japanese Star Chart 梅園星図,高橋景保,-,-,
Korean Book of New Song of the Sky Pacer 新法步天歌,李俊養,1862,Star maps and a revised version of the Song of Sky Pacer,
"Stars South of Equator, Stars North of Equator (赤道南恆星圖,赤道北恆星圖)",,1875～1908 清末光緒年間,Similar to Ming Dynasty General Star Map,
Fuxi 64 gua 28 xu wood carving 天水市卦台山伏羲六十四卦二十八宿全图,,modern,-,-
Korean Map of Heaven and Earth 天地圖,,c. 19th century,28 Constellations and geographic map,
Korean version of 28 Constellation 列宿圖,,c. 19th century,"28 Constellations, some named differently from their Chinese counterparts",
Korean Star Chart 渾天図,朴?,-,-,-
Star Chart in a Dao Temple 玉皇山道觀星圖,,1940 AD,-,-
Simplified Chinese and Western Star Map,Yi Shi Tong 伊世同,Aug. 1963,Star Map showing Chinese Xingquan and Western Constellation boundaries,
Sky Map,Yu Xi Dao Ren 玉溪道人,1987,Star Map with captions,
The Chinese Sky during the Han Constellating Stars and Society,Sun Xiaochun and Jacob Kistemaker,1997 AD,An attempt to recreate night sky seen by Chinese 2000 years ago,
