Map or catalog,Creator,Time created,Contets,links
Star map,,Recent,An attempt by a Japanese to reconstruct the night sky for a historical event around 235 AD 秋風五丈原,
Star maps,,Recent,Chinese 28 Constellation with Chinese and Japanese captions,
SinoSky Beta 2.0,,2002,"A computer program capable of showing Chinese Xingguans alongside with western constellations, lists about 700 stars with Chinese names.",
AEEA Star maps,,Modern,Good reconstruction and explanation of Chinese constellations,
Wikipedia Star maps,,Modern,-,zh:華蓋星
"28 Constellations, big dipper and 4 symbols Star map",,Modern,-,
Collection of printed star maps,,Modern,-,
28 Xu Star map and catalog,-,Modern,Stars around ecliptic,
HNSKY Korean/Chinese Supplement,"Jeong, Tae-Min(jtm71)/Chuang_Siau_Chin",Modern,Korean supplement is based on CheonSangYeulChaBunYaZiDo (B.C.100 ~ A.D.100),
Stellarium Chinese and Korean Sky Culture,"G.S.K. Lee; Jeong, Tae-Min(jtm71); Yu-Pu Wang (evanzxcv)",Modern,Major Xingguans and Star names,
修真內外火侯全圖 Huo Hou Tu,"Xi Chun Sheng Chong Hui|2005 redrawn, original unknown","illustrations of Milkyway and star maps, Chinese constellations in Taoism view",,
Star Map with illustrations for Xingguans,坐井★观星Zuo Jing Guan Xing,Modern,illustrations for cylindrical and circular polar maps,
Sky in Google Earth KML,,Modern,Attempts to show Chinese Star Maps on Google Earth,
