Year,Game,Developer,Setting,Platform,Notes
1995,Machiavelli: The Prince,Holistic,Historical,DOS,
1995,Transport Tycoon Deluxe,Chris Sawyer,Modern,"DOS, WIN9X, PS1",Remake of Transport Tycoon.
1995,SimIsle: Missions in the Rainforest,Maxis,Modern,"DOS, Windows 3.x, Mac OS",
1996,Zapitalism,LavaMind,Fantasy,WIN,
1996,Capitalism Plus,Enlight,Modern,WIN,Remake of Capitalism.
1996,"Fugger II, Die",Sunflowers,Historical,"DOS, WIN",Sequel to Die Fugger.
1996,Harvest Moon,Pack-In-Video,Fantasy,"GBC, SNES, VC",First title in the series.
1996,Mad TV 2,Greenwood,Modern,DOS,Sequel to Mad TV.
1997,Entrepreneur,Stardock,Modern,WIN,First title in the series.
1997,Harvest Moon GB,Victor,Fantasy,"GB, GBC",
1997,Herrscher der Meere,NovaTrix,Historical,DOS,
1997,Hollywood Mogul,Hollywood Mogul Co.,Modern,WIN,
1997,Industry Giant,JoWood,Modern,WIN,First title in the series.
1997,Legal Crime,Byte Enchanters,Historical,WIN,
1997,"Industry Giant: Expansion Set, The",JoWood,Modern,WIN,Expansion to Industry Giant.
1997,"Maid's Story, The",C's Ware,Modern,WIN,
1997,Theme Hospital,Bullfrog,Modern,"DOS, PS1, PSN, WIN",
1998,Profitania,LavaMind,Fantasy,WIN,
1998,Airline Tycoon,Spellbound,Modern,"LIN, OSX, WIN, ZETA",
1998,Anno 1602: Creation of a New World,Max,Historical,WIN9X,First title in the series. Hybrid with RTS elements.
1998,Gangsters: Organized Crime,Hothouse,Historical,WIN,
1998,Lula: The Sexy Empire,CDV,Modern,WIN,
1998,Railroad Tycoon II,PopTop,Historical,"DC, LIN, MAC, PS1, WIN",Sequel to Sid Meier's Railroad Tycoon.
1998,Yoot Tower,OpeNBooK9003,Modern,"MAC, WIN9X",Unofficial sequel to SimTower.
1999,Harvest Moon 2,Pack-In-Video,Fantasy,GBC,Sequel to Harvest Moon.
1999,Harvest Moon 64,"Toy Box, Victor",Fantasy,N64,
1999,Harvest Moon: Back to Nature,"Victor, Marvelous",Fantasy,"PS1, PSP",
1999,RollerCoaster Tycoon,Chris Sawyer,Modern,"WIN, Xbox",First title in the series.
