Year,Game,Developer,Setting,Platform,Notes
1963,Intopia,,Modern,Various,
1973,Lemonade Stand,MECC,Modern,"Mainframe, APPII","Created in 1973, ported to Apple II in 1979"
1980,Windfall: The Oil Crisis Game,David Mullich,Modern,APPII,
1982,Airline,CCS,Modern,"ZX, BBC",
1982,Autochef,CCS,Modern,ZX,
1982,Dallas,CCS,Modern,"ZX, BBC",
1982,Inheritance,Simon Hessel Software,Modern,BBC,
1982,J.R.,Software for All,Modern,BBC,
1983,Bankrupt,KW Software,Modern,ZX,
1983,British Lowland,CCS,Modern,ZX,
1983,Business Games,Acornsoft,Modern,BBC,Contains Stokmark and Telemark.
1982,Corn Cropper,CCS,Modern,ZX,
1983,M.U.L.E.,Ozark,Sci-fi,"APPII, ATR, C64, MSX, NES, PC88, PCJR",
1983,Oil Barons,Epyx,Modern,"APPII, C64, DOS",
1984,Dodgy Dealer,O.I. Consultants Ltd,Modern,"ZX, BBC",
1984,Millionaire,Incentive Software,Modern,"ZX, BBC",
1984,Mugsy,Melbourne House,Historical,ZX,
1984,The Biz,Virgin Games,Modern,ZX,
1985,Make Millions,Tom Snyder Productions,Modern,MAC,
1985,Stockmarket,Amsoft/Argus Press Software,Modern,CPC,
1986,Mugsy's Revenge,Beam,Historical,"C64, ZX",Sequel to Mugsy.
1987,Earth Orbit Stations,Karl Buiter,Sci-fi,"APPII, C64",
1987,Ports of Call,Aegis,Historical,"AMI, DOS",
1988,"Fugger, Die",Ballhaus,Historical,"AMI, C64",First title in the series.
1989,Black Gold (a.k.a. Oil Imperium),reLINE,Historical,"AMI, C64, DOS, ST",
1990,Big Business,DigiTek,Modern,"AMI, DOS, ST",
1990,Sid Meier's Railroad Tycoon,MicroProse,Historical,"AMI, DOS, MAC, ST",First title in the series.
1991,Mad TV,Rainbow,Modern,"AMI, DOS",First title in the series.
