Year,Game,Developer,Setting,Platform,Notes
2005,Playboy: The Mansion,Cyberlore,Modern,"PS2, WIN, Xbox",
2005,Prison Tycoon,Virtual Playground,Modern,WIN,First title in the series.
2005,RollerCoaster Tycoon 3: Soaked!,Frontier,Modern,WIN,Expansion to RollerCoaster Tycoon 3.
2005,RollerCoaster Tycoon 3: Wild!,Frontier,Modern,WIN,Expansion to RollerCoaster Tycoon 3.
2005,Tabloid Tycoon,ValuSoft,Modern,WIN,
2005,"Movies, The","Lionhead, Robosoft",Modern,"OSX, WIN",
2005,"Tower SP, The",Vivarium,Modern,GBA,Remake of SimTower.
2005,Wildlife Tycoon,Pocketwatch Games,Modern,"WIN, MAC",
2005,X3: Reunion,Egosoft,Sci-fi,"LIN, OSX, WIN",Sequel to X2: The Threat.
2005,Zoo Tycoon 2: Endangered Species,Blue Fang,Modern,WIN,Expansion to Zoo Tycoon 2.
2005,Zoo Tycoon DS,Blue Fang,Modern,DS,First title in the series.
2006,Anno 1701,Related,Historical,"DS, WIN",Sequel to Anno 1503: The New World Hybrid with RTS elements.
2006,Game Tycoon,Try Synergy,Modern,WIN,
2006,HotDogs HotGals,Fuzzyeyes,Modern,WIN,
2006,Lionel Trains: On Track,Black Lantern,Modern,DS,
2006,Prison Tycoon 2: Maximum Security,Virtual Playground,Modern,WIN,Sequel to Prison Tycoon.
2006,Rune Factory: A Fantasy Harvest Moon,Neverland,Fantasy,DS,First title in the series. Hybrid with RPG elements.
2006,Sid Meier's Railroads!,Firaxis,Historical,WIN,Sequel to Railroad Tycoon 3.
2006,GameBiz 2,Velocigames,Modern,WIN,Sequel to Gamebiz.
2006,"Movies: Stunts & Effects, The","Lionhead, Robosoft",Modern,"OSX, WIN",Expansion to The Movies.
2006,Tycoon City: New York,Deep Red,Modern,WIN,
2006,Chart Wars 3,Osiris Games,Modern,WIN,
2006,Wildlife Park 2 (a.k.a. Wildlife Zoo),Deep Silver,Modern,WIN,Sequel to Wildlife Park.
2006,Zoo Tycoon 2: African Adventure,Blue Fang,Modern,WIN,Expansion to Zoo Tycoon 2.
2006,Zoo Tycoon 2: Dino Danger Pack,Blue Fang,Modern,WIN,Expansion to Zoo Tycoon 2.
2006,Zoo Tycoon 2: Marine Mania,Blue Fang,Modern,WIN,Expansion to Zoo Tycoon 2.
2007,Anno 1701: Dawn of Discovery,Keen,Historical,DS,Hybrid with RTS elements.
2007,Anno 1701: The Sunken Dragon,Related,Historical,WIN,Expansion to Anno 1701 Hybrid with RTS elements.
