Year,Game,Developer,Setting,Platform,Notes
2003,Space Colony,Firefly Studios,Sci-fi,WIN,
2004,A-Train 6,Artdink,Modern,PS2,Sixth game in the A-Train series.
2004,Carnival Cruise Line Tycoon 2005: Island Hopping,Artex,Modern,WIN,
2004,Chris Sawyer's Locomotion,Chris Sawyer,Modern,WIN,
2004,Fish Tycoon,Last Day,Modern,"DS, iPod, iPhone, MOBI, PALM, PPC, OSX, WIN",
2004,Harvest Moon: Another Wonderful Life,Marvelous,Fantasy,GBA,"\Female\"" version of Harvest Moon: A Wonderful Life."""
2004,Holiday World,Island,Modern,WIN,
2004,John Deere: American Farmer,Gabriel,Modern,WIN,
2004,Lemonade Tycoon 2,Jamdat,Modern,"MAC, WIN",Sequel to Lemonade Tycoon.
2004,OpenTTD,Various,Modern,"LIN, WIN","Open source game engine based on Transport Tycoon Deluxe. Version 1.0 released April 1, 2010."
2004,Port Royale 2,Ascaron,Historical,WIN,"Sequel to Port Royale: Gold, Power and Pirates."
2004,Railroad Tycoon 3: Coast to Coast,PopTop,Historical,WIN,Expansion to Railroad Tycoon 3.
2007,Recettear: An Item Shop's Tale,"EasyGameStation, Carpe Fulgur",Fantasy,WIN,
2004,RollerCoaster Tycoon 3,Frontier,Modern,"OSX, WIN",Sequel to RollerCoaster Tycoon 2.
2004,GameBiz,Velocigames,Modern,WIN,
2004,School Tycoon,Cat Daddy,Modern,WIN,
2004,Zoo Empire,Enlight,Modern,WIN,
2004,Zoo Tycoon 2,"Blue Fang, MacSoft",Modern,"MAC, WIN",Sequel to Zoo Tycoon.
2005,Caterpillar Construction Tycoon,Gabriel,Modern,WIN,
2005,Cinema Tycoon,Tikgames,Modern,WIN,First title in the series.
2005,Coffee Tycoon,Jamopolis,Modern,WIN,
2005,Geniu$: The Tech Tycoon Game,Radon Labs,Modern,WIN,
2005,Harvest Moon DS Cute,Marvelous,Fantasy,DS,"\Female\"" version of Harvest Moon DS."""
2005,Harvest Moon DS,Marvelous,Fantasy,DS,
2005,Harvest Moon: Magical Melody,Marvelous,Fantasy,"GCN, Wii",
2005,Mall of America Tycoon,4HEAD,Modern,WIN,
2005,Mall Tycoon 3,Cat Daddy,Modern,WIN,Sequel to Mall Tycoon 2.
2005,Marine Park Empire,Enlight,Modern,WIN,
