Year,Game,Developer,Setting,Platform,Notes
2003,Airport Tycoon 3,InterActive,Modern,WIN,Sequel to Airport Tycoon 2.
2003,Anno 1503: The New World,Max,Historical,"WIN9X, WIN",Sequel to Anno 1602: Creation of a New World. Hybrid with RTS elements.
2003,"Anno 1503: Treasures, Monsters and Pirates",Max,Historical,WIN,Expansion to Anno 1503: The New World.
2003,Atlantis Underwater Tycoon,Activision,Modern,WIN,
2003,Big Biz Tycoon 2,2head,Modern,WIN,Sequel to Big Biz Tycoon.
2003,Car Tycoon,Vectorcom,Modern,WIN,
2003,"Casino, Inc: The Management",Hothouse,Modern,WIN,"Expansion to Casino, Inc.."
2003,"Casino, Inc.",Hothouse,Modern,WIN,
2003,Cruise Ship Tycoon,Cat Daddy,Modern,WIN,
2003,Deep Sea Tycoon,Anarchy,Modern,WIN,
2003,Eve Online,CCP,Sci-Fi,"LIN, OSX, WIN",Space sim. MMORPG.
2003,Harvest Moon: A Wonderful Life,Marvelous,Fantasy,"GCN, PS2",
2003,Harvest Moon: Friends of Mineral Town,Marvelous,Fantasy,GBA,
2003,Harvest Moon: More Friends of Mineral Town,Marvelous,Fantasy,GBA,"\Female\"" version of Harvest Moon: Friends of Mineral Town."""
2003,Jurassic Park: Operation Genesis,Blue Tongue,Sci-fi,"PS2, WIN, Xbox",
2003,Mall Tycoon 2,"Fusion Digital, Virtual Playground",Modern,WIN,Sequel to Mall Tycoon.
2003,Patrician III: Rise of the Hanse,Ascaron,Historical,WIN,Sequel to Patrician II.
2003,"Planer 3, Die",MadCat,Modern,WIN,Third title in the Der Planer series.
2003,"Port Royale: Gold, Power and Pirates",Ascaron,Historical,WIN,
2003,Railroad Tycoon 3,PopTop,Historical,"MAC, WIN",Sequel to Railroad Tycoon II.
2003,Restaurant Empire,Enlight,Modern,WIN,
2003,RollerCoaster Tycoon 2: Time Twister,Frontier,Modern,WIN,Expansion to RollerCoaster Tycoon 2.
2003,RollerCoaster Tycoon 2: Wacky Worlds,Frontier,Modern,WIN,Expansion to RollerCoaster Tycoon 2.
2003,SeaWorld Adventure Parks Tycoon,Deep Red,Modern,WIN,
2003,Tropico 2: Pirate Cove,Frog City,Historical,"OSX, WIN",
2003,Vegas Tycoon,Deep Red,Modern,WIN,
2003,Wildlife Park,"JoWood, Encore",Modern,WIN,First title in the series.
2003,X2: The Threat,Egosoft,Sci-fi,"LIN, OSX, WIN",Sequel to X: Beyond the Frontier.
