Year,Game,Developer,Setting,Platform,Notes
2001,Trevor Chan's Capitalism II,Enlight,Modern,WIN,Sequel to Capitalism.
2001,Tropico,PopTop,Modern,"MAC, OSX, WIN, WIN9X",
2001,TV Tycoon,Niels Bauer,Modern,WIN,
2001,Zoo Tycoon,Blue Fang,Modern,"DS, MAC, WIN",First title in the series.
2002,Airlines 2,InterActive,Modern,WIN,Sequel to Airlines.
2002,Beach Life,Deep Red,Modern,WIN,
2002,Big Biz Tycoon,Animedia,Modern,WIN,First title in the series.
2002,Casino Mogul,Monte Cristo,Modern,WIN,
2002,Casino Empire,Sierra,Modern,WIN,
2002,Dino Island,Monte Cristo,Sci-fi,WIN,
2002,Dino Island (a.k.a. Dyno Tycoon),Monte Cristo,Sci-fi,WIN,
2002,Donald Trump's Real Estate Tycoon!,Red Cap,Modern,WIN,
2002,Europa 1400: The Guild,4HEAD,Historical,WIN,Sequel to Die Fugger II.
2002,Golf Resort Tycoon II,Cat Daddy,Modern,WIN,Sequel to Golf Resort Tycoon.
2002,Industry Giant II,JoWood,Modern,WIN,Sequel to Industry Giant.
2002,Lemonade Tycoon,"Hexacto, Jamdat",Modern,"PALM, PPC, MOBI, WIN",
2002,Mall Tycoon,Holistic,Modern,WIN,First title in the series.
2002,Maximum Capacity: Hotel Giant,Enlight,Modern,WIN,
2002,Miniconomy,Trade Games,Modern,BROW,
2002,Rock Manager,PAN,Modern,WIN,
2002,RollerCoaster Tycoon 2,Chris Sawyer,Modern,WIN,Sequel to RollerCoaster Tycoon.
2002,Shopping Centre Tycoon,Holistic,Modern,WIN,
2002,Snowboard Park Tycoon,Cat Daddy,Modern,WIN,
2002,Trailer Park Tycoon,Jaleco,Modern,WIN,
2002,Tropico: Paradise Island,BreakAway,Modern,"WIN, WIN9X",Expansion to Tropico.
2002,Zoo Tycoon: Dinosaur Digs,Blue Fang,Modern,WIN,Expansion to Zoo Tycoon.
2002,Zoo Tycoon: Marine Mania,Blue Fang,Modern,WIN,Expansion to Zoo Tycoon.
2003,Airport Tycoon 2,Sunstorm,Modern,WIN,Sequel to Airport Tycoon.
