Year,Game,Developer,Setting,Platform,Notes,Dummy_Col_1,Dummy_Col_2,Unused_3
1991,Merchant Colony,Impressions,Historical,"AMI, DOS, ST",,ADBTxIB,KRIEDr,
1992,A-Train,Artdink,Modern,"AMI, DOS, MAC, PS1",,hFNHjTbI,pyvKH,
1992,Aerobiz,Koei,Modern,"GEN, SNES",,qPlAfUM,llGHqyW,
1992,"Patrician, The",Ascaron,Historical,"AMI, DOS, ST",First title in the series.,RJgnTu,Kscga,
1993,Aerobiz Supersonic,Koei,Modern,"GEN, SNES",Sequel to Aerobiz.,YlAiMl,nWOXCjVS,
1993,Buzz Aldrin's Race into Space,Strategic,Historical,DOS,,Ocetq,GonMdr,
1993,Detroit,Impressions,Historical,"AMI, DOS",,eZUhER,avBHmZg,
1993,DinoPark Tycoon,"MECC, Manley & Associates",Sci-fi,"3DO, DOS, MAC, WIN",,uwYkANz,JrDxqH,
1993,Merchant Prince,Holistic,Historical,DOS,,OXhOOL,PhotdSd,
1993,Sid Meier's Railroad Tycoon Deluxe,MicroProse,Historical,DOS,Re-release of Sid Meier's Railroad Tycoon.,LdJjulwo,JSuQN,
1993,SimFarm,Maxis,Modern,"DOS, MAC, WIN3X",,DHUYR,nTZRi,
1994,Gazillionaire,LavaMind,Modern,"WIN, ONLINE",,IaibU,msCUCqg,
1994,Airlines,Interactivision,Modern,DOS,,lbVTdHB,wkAUB,
1994,"Planer, Der",Greenwood,Modern,DOS,,PEOOQQ,lazSeJF,
1994,Flamingo Tours,Sayonara,Modern,"AMI, DOS",,sjjnqF,uuWEM,
1994,Hanse: Die Expedition,Ascaron,Historical,"AMI, DOS",,gRlWdF,NWPfKoJ,
1994,Mad News,Ikarion,Modern,"AMI, DOS",,rKIiLX,YfWutHc,
1994,Motor City(a.k.a. Oldtimer in Germany),Max Design,Historical,DOS,,adYeU,tFGeRLj,
1994,Pizza Tycoon (a.k.a. Pizza Connection),Software 2000,Modern,"AMI, DOS, WIN",First title in the series.,xyKsB,MeTNJ,
1994,SimHealth,Thinking Tools,Modern,DOS,,viFIlXU,Uhhom,
1994,SimTower,OPeNBooK,Modern,"MAC, WIN3X, WIN9X",,jOhXGa,eHhPD,
1994,Theme Park,Bullfrog,Modern,"3DO, AMI, DOS, DS, GEN, MAC, JAG, PS1, SAT, SCD, SNES",,KMcfT,NVodq,
1994,Transport Tycoon,Chris Sawyer,Modern,"DOS, PS1",,igSDk,CHlqN,
1995,Capitalism,Enlight,Modern,"DOS, MAC",,Fydfdi,TflBL,
1995,Elisabeth I.,Ascaron,Historical,DOS,,DaDti,QZIpE,
1995,Hillsea Lido,Vulcan,Modern,AMI,,gCiEEmy,sTEfz,
1995,Kaiser Deluxe,Linel,Historical,"DOS, WIN",Remake of Kaiser.,qMsKN,cgUtL,
1995,Kosmos,AK,Sci-fi,DOS,,YNkhZQ,rAMlH,
