Year,Site,Winning team,Losing team,Series
1958,Manhattan,Kansas 21,Kansas State 12,KU 36–17–3
1959,Lawrence,Kansas 33,Kansas State 14,KU 37–17–3
1960,Manhattan,Kansas 41,Kansas State 0,KU 38–17–3
1961,Lawrence,Kansas 34,Kansas State 0,KU 39–17–3
1962,Manhattan,Kansas 38,Kansas State 0,KU 40–17–3
1963,Lawrence,Kansas 34,Kansas State 0,KU 41–17–3
1964,Manhattan,Kansas 7,Kansas State 0,KU 42–17–3
1965,Lawrence,Kansas 34,Kansas State 0,KU 43–17–3
1966,Manhattan,Kansas 3,Kansas State 3,KU 43–17–4
1967,Lawrence,Kansas 17,Kansas State 16,KU 44–17–4
1968,Manhattan,(#7) Kansas 38,Kansas State 29,KU 45–17–4
