Year,Site,Winning team,Losing team,Series,Extra_Data_1,Dummy_Col_2
1925,Lawrence,Kansas State 14,Kansas 7,KU 17–3–3,828,xpCrRLk
1926,Manhattan,Kansas State 27,Kansas 0,KU 17–4–3,435,OocxW
1927,Lawrence,Kansas State 13,Kansas 2,KU 17–5–3,398,gbQlRBDV
1928,Manhattan,Kansas 7,Kansas State 0,KU 18–5–3,953,exUymvu
1929,Lawrence,Kansas State 6,Kansas 0,KU 18–6–3,477,zrgfYoll
1930,Manhattan,Kansas 14,Kansas State 0,KU 19–6–3,286,QRjXCL
1931,Lawrence,Kansas State 13,Kansas 0,KU 19–7–3,382,bNSci
1932,Manhattan,Kansas 19,Kansas State 0,KU 20–7–3,705,IEQqj
1933,Lawrence,Kansas State 6,Kansas 0,KU 20–8–3,500,EeKvuH
1934,Manhattan,Kansas State 13,Kansas 0,KU 20–9–3,108,IkOZnn
1935,Lawrence,Kansas 9,Kansas State 2,KU 21–9–3,248,tQJvn
