Year,Site,Winning team,Losing team,Series,Dummy_Col_1
1936,Manhattan,Kansas State 26,Kansas 6,KU 21–10–3,CBECw
1937,Lawrence,Kansas State 7,Kansas 0,KU 21–11–3,mboplKiw
1938,Manhattan,Kansas 27,Kansas State 7,KU 22–11–3,qAJEK
1939,Lawrence,Kansas State 27,Kansas 6,KU 22–12–3,JcMeGxip
1940,Manhattan,Kansas State 20,Kansas 0,KU 22–13–3,Vsqnl
1941,Lawrence,Kansas 20,Kansas State 16,KU 23–13–3,uYZja
1942,Manhattan,Kansas 19,Kansas State 7,KU 24–13–3,jWirNfk
1943,Lawrence,Kansas 25,Kansas State 2,KU 25–13–3,DOmEb
1944,Manhattan,Kansas State 24,Kansas 18,KU 25–14–3,aQYDllF
1945,Lawrence,Kansas 27,Kansas State 0,KU 26–14–3,DYSyEWxj
1946,Manhattan,Kansas 34,Kansas State 0,KU 27–14–3,eoVug
