Year,Site,Winning team,Losing team,Series
1914,Lawrence,Kansas 27,Kansas State 0,KU 11–1
1915,Manhattan,Kansas 19,Kansas State 7,KU 12–1
1916,Lawrence,Kansas 0,Kansas State 0,KU 12–1–1
1917,Manhattan,Kansas 9,Kansas State 0,KU 13–1–1
1918,Lawrence,Kansas 13,Kansas State 7,KU 14–1–1
1919,Lawrence,Kansas 16,Kansas State 3,KU 15–1–1
1920,Manhattan,Kansas 14,Kansas State 0,KU 16–1–1
1921,Lawrence,Kansas 21,Kansas State 7,KU 17–1–1
1922,Manhattan,Kansas 7,Kansas State 7,KU 17–1–2
1923,Lawrence,Kansas 0,Kansas State 0,KU 17–1–3
1924,Manhattan,Kansas State 6,Kansas 0,KU 17–2–3
