Typ,Construction Time,Cylinders,Capacity,Power,Top speed,Unused_1
19/45 PS,1909–1912,4 inline,"4,840 cc",35 kW (48 PS),,
13/30 PS,1909–1912,4 inline,"3,180 cc","25,7 kW (35 PS)",,
10/28 PS,1909–1912,4 inline,"2,612 cc",22 kW (30 PS),,
K 7/15 PS,1910–1913,4 inline,"1,768 cc",11 kW (15 PS),60 km/h (37 mph),
30/70 PS,1911–1914,4 inline,"7,853 cc",51 kW (70 PS),115 km/h (71 mph),
35/80 PS,1911–1914,4 inline,"9,081 cc","62,5 kW (85 PS)",,
K 5/13 PS,1911–1920,4 inline,"1,292 cc","9,6–10,3 kW (13–14 PS)",55 km/h (34 mph),
20/50 PS,1912–1914,4 inline,"5,229 cc",40 kW (55 PS),105 km/h (65 mph),
15/40 PS,1913–1914,4 inline,"3,866 cc",33 kW (45 PS),90 km/h (56 mph),
9/24 PS,1913–1914,4 inline,"2,313 cc","17,6 kW (24 PS)",70 km/h (43 mph),
