Typ,Construction Time,Cylinders,Capacity,Power,Top speed
25/55 PS,1913–1914,4 inline,"6,457 cc",44 kW (60 PS),
KL 6/16 PS,1913–1920,4 inline,"1,551 cc","11,8 kW (16 PS)",60 km/h (37 mph)
12/30 PS,1914,4 inline,"3,115 cc","25,7 kW (35 PS)",
9/24 (9/30) PS,1921–1924,4 inline,"2,298 cc","17,6–22 kW (24–30 PS)",65 km/h (40 mph)–75 km/h (47 mph)
12/34 (12/40) PS,1921–1924,4 inline,"3,115 cc",25–29 kW (34–40 PS),85 km/h (53 mph)
18/60 PS,1921–1924,4 inline,"4,712 cc",44 kW (60 PS),100 km/h (62 mph)
6/22 PS,1922–1923,4 inline,"1,550 cc",16 kW (22 PS),75 km/h (47 mph)
10/50 PS,1925–1927,6 inline,"2,580 cc",37 kW (50 PS),90 km/h (56 mph)
18/80 PS,1925–1927,6 inline,"4,704 cc",59 kW (80 PS),100 km/h (62 mph)
6/25 PS,1925–1928,4 inline,"1,550 cc",18 kW (25 PS),80 km/h (50 mph)
