Typ,Construction Time,Cylinders,Capacity,Power,Top speed
Vis-à-Vis,1900–1903,1,400 cc,"2,6 kW (3,5 PS)",30 km/h (19 mph)
45 PS (33 kW; 44 hp),1900–1903,1,510 cc,"3,3 kW (4,5 PS)",35 km/h (22 mph)
8 PS (6 kW; 8 hp),1901–1903,1,865 cc,"5,9 kW (8 PS)",40 km/h (25 mph)
24/28 PS,1904–1905,4 inline,"4,016 cc","20,6 kW (28 PS)",65 km/h (40 mph)
8/12 (8/14) PS,1904–1906,2 inline,"2,008 cc","8,8–10,3 kW (12–14 PS)",50 km/h (31 mph)
4/8 PS,1906–1907,2 V,"1,032 cc","5,9 kW (8 PS)",55 km/h (34 mph)
5/9 PS,1907–1909,2 inline,"1,134 cc","6,6 kW (9 PS)",60 km/h (37 mph)
8/15 PS,1907–1910,4 inline,"2,011 cc",11 kW (15 PS),55 km/h (34 mph)
11/18 PS,1907–1910,4 inline,"2,799 cc","13,2 kW (18 PS)",55 km/h (34 mph)
23/50 PS,1909–1912,4 inline,"5,800 cc","42,6 kW (58 PS)",
