Name,Ruralmunicipality (RM),Population(2011),Population(2006),Change(%),Landarea(km²),Populationdensity(per km²)
Redvers,Antler No. 61,975,878,11,2.96,329
Regina Beach,Lumsden No. 189,"1,081","1,210",−10.7,3.88,278.5
Rocanville,Rocanville No. 151,857,869,−1.4,2.43,352.3
Rockglen,Poplar Valley No. 12,400,366,9.3,2.85,140.4
Rose Valley,Ponass Lake No. 367,296,338,−12.4,1.12,263.4
Rosetown,St. Andrews No. 287,"2,317","2,277",1.8,12.14,190.8
Rosthern,Rosthern No. 403,"1,572","1,382",13.7,4.31,365
Rouleau,Redburn No. 130,453,400,13.3,1.61,282.2
Saltcoats,Saltcoats No. 213,474,467,1.5,1.35,352.2
Scott,Tramping Lake No. 380,75,91,−17.6,4.39,17.1
Shaunavon,Grassy Creek No. 78,"1,756","1,691",3.8,5.1,344.2
Shellbrook,Shellbrook No. 493,"1,433","1,230",16.5,3.67,390.3
Sintaluta,Indian Head No. 156,120,98,22.4,2.7,44.5
Southey,Cupar No. 218,778,711,9.4,1.56,499.8
