Name,Ruralmunicipality (RM),Population(2011),Population(2006),Change(%),Landarea(km²),Populationdensity(per km²)
Blaine Lake,Blaine Lake No. 434,510,472,8.1,1.95,261.6
Bredenbury,Saltcoats No. 213,364,329,10.6,4.8,75.8
Broadview,Elcapo No. 154,574,611,−6.1,2.45,233.8
Bruno,Bayne No. 371,574,495,16,0.95,606.1
Burstall,Deer Forks No. 232,301,315,−4.4,1.11,270
Cabri,Riverside No. 168,399,439,−9.1,1.33,298.9
Canora,Good Lake No. 274,"2,219","2,013",10.2,7.31,303.7
Carlyle,Antler No. 61,"1,441","1,257",14.6,3.19,451.1
Carnduff,Mount Pleasant No. 2,"1,126","1,012",11.3,2.26,497.3
Carrot River,Moose Range No. 486,"1,000",941,6.3,1.42,706.4
Central Butte,Enfield No. 194,365,372,−1.9,2.24,163.2
Choiceland,Torch River No. 488,381,346,10.1,1.12,340.8
Churchbridge,Churchbridge No. 211,743,704,5.5,2.76,269.2
Colonsay,Colonsay No. 342,475,425,11.8,2.46,193.1
Coronach,Hart Butte No. 11,711,770,−7.7,2.33,304.9
