Name,Ruralmunicipality (RM),Population(2011),Population(2006),Change(%),Landarea(km²),Populationdensity(per km²)
Aberdeen,Aberdeen No. 373,599,527,13.7,1.95,307
Alameda,Moose Creek No. 33,342,308,11,2.55,133.9
Allan,Bayne No. 371,648,631,2.7,1.78,363.2
Arborfield,Arborfield No. 456,326,329,−0.9,0.88,370.5
Arcola,Brock No. 64,649,509,27.5,3.39,191.5
Asquith,Vanscoy No. 345,603,576,4.7,1.23,491.4
Assiniboia,Lake of the Rivers No. 72,"2,418","2,305",4.9,3.78,639.8
Balcarres,Abernethy No. 186,617,598,3.2,1.57,392.9
Balgonie,Edenwold No. 158,"1,625","1,384",17.4,3.15,515.8
Battleford,Battle River No. 438,"4,065","3,685",10.3,23.33,174.2
Bengough,Bengough No. 40,313,337,−7.1,1.07,292
Bienfait,Coalfields No. 4,780,748,4.3,3.09,252.4
Big River,Big River No. 555,639,728,−12.2,2.51,255
Biggar,Biggar No. 347,"2,161","2,033",6.3,15.75,137.2
Birch Hills,Birch Hills No. 460,"1,064",935,13.8,2.27,468.4
