Name,Ruralmunicipality (RM),Population(2011),Population(2006),Change(%),Landarea(km²),Populationdensity(per km²)
Craik,Craik No. 222,453,408,11,3.02,150
Cudworth,Hoodoo No. 401,770,738,4.3,2.21,348.7
Cupar,Cupar No. 218,579,566,2.3,0.8,726.7
Cut Knife,Cut Knife No. 439,517,532,−2.8,1.99,259.3
Dalmeny,Corman Park No. 344,"1,702","1,560",9.1,2.27,751
Davidson,Arm River No. 252,"1,025",958,7,4.49,228.4
Delisle,Vanscoy No. 345,975,898,8.6,2.49,391.3
Duck Lake,Duck Lake No. 463,577,605,−4.6,2.73,211.6
Dundurn,Dundurn No. 314,693,647,7.1,1.37,505.3
Eastend,White Valley No. 49,527,471,11.9,2.71,194.7
Eatonia,Chesterfield No. 261,508,449,13.1,1.68,301.6
Elrose,Monet No. 257,477,453,5.3,2.76,172.8
Esterhazy,Fertile Belt No. 183,"2,472","2,336",5.8,4.75,520.9
Eston,Snipe Lake No. 259,"1,031",971,6.2,2.72,379.3
Fleming,Moosomin No. 121,83,75,10.7,2.17,38.3
